ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
43,19610830,34528,20223006,-3.9,-77.8,33,5.5,PERU,AMAZONAS
90,19630403,13559,20223006,-4.8,-78.4,33,4.9,PERU,AMAZONAS
100,19630618,153955,20223006,-5.3,-78.5,33,4.9,PERU,AMAZONAS
108,19630705,142924,20223006,-3.2,-77.8,65,4.7,PERU,AMAZONAS
131,19631030,11731,20223006,-4.8,-77.9,20,5.6,PERU,AMAZONAS
134,19631103,31012,20223006,-3.5,-77.8,18,6.2,PERU,AMAZONAS
135,19631103,42448,20223006,-4.3,-78.3,146,4.7,PERU,AMAZONAS
137,19631103,120228,20223006,-3.7,-78.3,33,4.9,PERU,AMAZONAS
140,19631106,12846,20223006,-4.2,-77.7,170,4.6,PERU,AMAZONAS
142,19631108,192254,20223006,-3.7,-78.2,33,4.9,PERU,AMAZONAS
181,19640224,183834,20223006,-3.37,-78,33,5,PERU,AMAZONAS
200,19640429,40801,20223006,-3.408,-78.089,26,4.9,PERU,AMAZONAS
210,19640603,74931,20223006,-5.19,-78.6,33,4.7,PERU,AMAZONAS
214,19640609,153130,20223006,-4.77,-77.9,40,4.9,PERU,AMAZONAS
217,19640623,3012,20223006,-3.73,-78.1,53,5,PERU,AMAZONAS
225,19640804,130622,20223006,-5.14,-78.7,33,4.6,PERU,AMAZONAS
275,19650312,225446,20223006,-5.799,-77.856,38,5.3,PERU,AMAZONAS
299,19650608,54650,20223006,-4.01,-78.2,33,4.7,PERU,AMAZONAS
302,19650621,104641,20223006,-3.67,-77.89,25,4.9,PERU,AMAZONAS
317,19650724,121608,20223006,-3.5,-78.1,33,4.7,PERU,AMAZONAS
359,19651203,83227,20223006,-3.525,-77.881,30,5.1,PERU,AMAZONAS
361,19651207,34441,20223006,-3.5,-78.2,42,4.9,PERU,AMAZONAS
462,19660903,224216,20223006,-3.6,-78.1,135,4.5,PERU,AMAZONAS
510,19661104,85554,20223006,-4.357,-77.768,70,5.1,PERU,AMAZONAS
511,19661104,91504,20223006,-4.367,-77.631,107,5,PERU,AMAZONAS
541,19670129,182744,20223006,-4.57,-78,67,4.7,PERU,AMAZONAS
605,19670714,100844,20223006,-6.265,-77.392,110,5,PERU,AMAZONAS
697,19680308,82300,20223006,-4.1,-78.2,84,4.7,PERU,AMAZONAS
704,19680407,234905,20223006,-4.946,-78.039,54,5.2,PERU,AMAZONAS
745,19680619,170610,20223006,-5.7,-77.9,33,4.9,PERU,AMAZONAS
769,19680623,190950,20223006,-5.8,-78.2,33,4.7,PERU,AMAZONAS
776,19680626,63355,20223006,-6.24,-78,98,4.8,PERU,AMAZONAS
783,19680627,102704,20223006,-5.96,-77.8,114,4.8,PERU,AMAZONAS
817,19680902,230152,20223006,-6.12,-77.8,90,4.8,PERU,AMAZONAS
859,19690104,53804,20223006,-6.14,-77.8,14,4.7,PERU,AMAZONAS
1234,19710404,60246,20223006,-3.307,-77.898,107,4.8,PERU,AMAZONAS
1335,19720320,190949,20223006,-6.939,-77.938,0,4.5,PERU,AMAZONAS
1428,19721228,133132,20223006,-3.691,-77.977,106,5.3,PERU,AMAZONAS
1437,19730206,40900,20223006,-4.914,-78.507,7,5.2,PERU,AMAZONAS
1545,19740121,23440,20223006,-4.53,-77.991,78,4.9,PERU,AMAZONAS
1615,19740811,170530,20223006,-6.56,-77.433,128,4.6,PERU,AMAZONAS
1709,19741218,203128,20223006,-4.5,-77.7,0,4.5,PERU,AMAZONAS
1896,19770330,185342,20223006,-5.321,-78.407,53,5.3,PERU,AMAZONAS
1911,19770521,201115,20223006,-3.771,-77.85,106,4.8,PERU,AMAZONAS
1963,19780314,172046,20223006,-4.87,-78.031,47,5.2,PERU,AMAZONAS
2010,19780830,2605,20223006,-5.291,-78.385,123,5.3,PERU,AMAZONAS
2072,19790520,14324,20223006,-6.315,-77.388,33,5.9,PERU,AMAZONAS
2292,19810803,133750,20223006,-5.432,-77.958,108,5.3,PERU,AMAZONAS
2327,19811225,185424,20223006,-3.535,-78.287,97,5.1,PERU,AMAZONAS
2438,19830321,10252,20223006,-3.81,-77.94,65,5,PERU,AMAZONAS
2443,19830412,120755,20223006,-4.84,-78.1,104,6.7,PERU,AMAZONAS
2494,19831122,151515,20223006,-5.01,-78.11,25,5.5,PERU,AMAZONAS
2552,19840306,213908,20223006,-5.83,-77.81,147,5.3,PERU,AMAZONAS
2568,19840415,212630,20223006,-3.55,-78.32,136,5.8,PERU,AMAZONAS
2614,19840711,60737,20223006,-6.16,-77.28,21,5.3,PERU,AMAZONAS
2685,19850204,105027,20223006,-3.64,-78.004,124,5.1,PERU,AMAZONAS
2688,19850205,104935,20223006,-4.82,-78.04,58,4.7,PERU,AMAZONAS
2715,19850401,184305,20223006,-6.26,-77.35,14,4.7,PERU,AMAZONAS
2769,19850808,185310,20223006,-5.2,-78.7,61,4.6,PERU,AMAZONAS
2871,19860108,65356,20223006,-6.55,-77.37,51,4.9,PERU,AMAZONAS
3043,19860920,70036,20223006,-5.06,-78.08,74,4.9,PERU,AMAZONAS
