ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
81,19630203,111809,20223006,-9.1,-77.1,33,4.6,PERU,ANCASH
106,19630630,124356,20223006,-8.8,-77.9,94,4.7,PERU,ANCASH
174,19640218,103323,20223006,-8.3,-78,33,4.9,PERU,ANCASH
414,19660525,232127,20223006,-9.48,-77.07,161,4.7,PERU,ANCASH
479,19661017,215322,20223006,-9.428,-77.801,46,5.8,PERU,ANCASH
908,19690521,4031,20223006,-9.506,-77.917,116,4.7,PERU,ANCASH
1006,19700124,125340,20223006,-10.756,-77.584,2,5.1,PERU,ANCASH
1052,19700601,60547,20223006,-9.292,-77.588,51,5.5,PERU,ANCASH
1053,19700601,61155,20223006,-9.101,-77.61,25,5.2,PERU,ANCASH
1080,19700607,185823,20223006,-8.306,-77.858,44,5.3,PERU,ANCASH
1119,19700825,44202,20223006,-9.159,-78.387,58,4.6,PERU,ANCASH
1241,19710504,172811,20223006,-8.346,-77.88,21,5.2,PERU,ANCASH
1440,19730228,133643,20223006,-9.614,-78.032,61,5.2,PERU,ANCASH
1450,19730317,82816,20223006,-9.426,-77.147,76,5,PERU,ANCASH
1542,19740114,155254,20223006,-8.615,-77.52,39,5.5,PERU,ANCASH
1543,19740114,173520,20223006,-8.693,-77.516,43,5.5,PERU,ANCASH
1569,19740411,95949,20223006,-8.38,-77.527,14,5.1,PERU,ANCASH
1598,19740623,114709,20223006,-10.319,-77.653,56,5,PERU,ANCASH
1862,19761017,35839,20223006,-9.942,-77.487,33,5.3,PERU,ANCASH
1907,19770510,64933,20223006,-9.681,-77.886,33,4.9,PERU,ANCASH
1959,19780215,150542,20223006,-9.635,-78.05,61,5.6,PERU,ANCASH
2284,19810716,52759,20223006,-10.306,-77.869,33,5,PERU,ANCASH
2509,19840101,84334,20223006,-10.4,-77.16,116,4.7,PERU,ANCASH
2695,19850217,223934,20223006,-8.92,-78.54,18,4.9,PERU,ANCASH
2747,19850621,55206,20223006,-9.94,-78.1,10,4.9,PERU,ANCASH
2794,19850825,41133,20223006,-8.87,-78.46,49,4.8,PERU,ANCASH
2826,19851014,45944,20223006,-8.91,-77.25,121,5,PERU,ANCASH
2857,19851207,222439,20223006,-10.2,-77.66,77,4.6,PERU,ANCASH
2876,19860111,194216,20223006,-9.57,-78.07,20,5.6,PERU,ANCASH
2879,19860112,125910,20223006,-9.42,-78.29,29,5.1,PERU,ANCASH
2997,19860627,133930,20223006,-9.41,-77.79,15,5.1,PERU,ANCASH
3073,19861117,232932,20223006,-8.86,-78.43,36,5.3,PERU,ANCASH
3420,19870916,50617,20223006,-10.72,-77.47,36,4.6,PERU,ANCASH
3842,19890705,1336,20223006,-10.33,-77.53,85,5.1,PERU,ANCASH
4060,19900217,93115,20223006,-9.28,-76.8,57,4.7,PERU,ANCASH
4309,19900807,113620,20223006,-8.59,-78.05,91,4.5,PERU,ANCASH
4571,19910327,220212,20223006,-9.44,-77.71,28,4.7,PERU,ANCASH
4781,19910819,74306,20223006,-9.19,-78.11,28,5.2,PERU,ANCASH
4786,19910824,83558,20223006,-8.85,-78.17,50,5.3,PERU,ANCASH
4850,19911128,201525,20223006,-9.78,-78.18,52,4.5,PERU,ANCASH
4852,19911202,35359,20223006,-9.21,-77.21,27,4.5,PERU,ANCASH
4877,19911228,10157,20223006,-9.15,-77.42,14,5,PERU,ANCASH
4878,19911228,235657,20223006,-9.02,-77.99,27,5.1,PERU,ANCASH
4908,19920204,231835,20223006,-9.9,-77.7,45,4.9,PERU,ANCASH
4986,19920512,225101,20223006,-8.91,-77.46,45,4.9,PERU,ANCASH
5001,19920523,232019,20223006,-8.97,-78.41,32,4.6,PERU,ANCASH
5005,19920525,165938,20223006,-8.71,-77.37,31,4.6,PERU,ANCASH
5056,19920729,25820,20223006,-9.5,-78.01,23,4.5,PERU,ANCASH
5058,19920731,10953,20223006,-10.18,-77.48,90,4.5,PERU,ANCASH
5178,19921221,153757,20223006,-9.81,-77.63,21,4.5,PERU,ANCASH
5192,19930108,32653,20223006,-9.11,-77.62,44,4.7,PERU,ANCASH
5213,19930131,200733,20223006,-9.5,-77.99,116,4.7,PERU,ANCASH
5236,19930224,71554,20223006,-8.69,-78.04,21,4.7,PERU,ANCASH
5320,19930519,134100,20223006,-9.29,-77.82,86,4.6,PERU,ANCASH
5323,19930521,144200,20223006,-8.89,-77.74,30,4.6,PERU,ANCASH
5364,19930814,181236,20223006,-8.77,-78.24,104,4.6,PERU,ANCASH
5380,19930905,43423,20223006,-10.05,-78.16,31,5.7,PERU,ANCASH
5415,19931008,101647,20223006,-9.08,-78.34,25,4.9,PERU,ANCASH
5483,19940111,3426,20223006,-9.62,-78.08,23,4.5,PERU,ANCASH
5519,19940218,53033,20223006,-10.22,-77.21,18,4.6,PERU,ANCASH
5612,19940503,205108,20223006,-10.05,-76.92,53,4.5,PERU,ANCASH
5669,19940616,103135,20223006,-9.12,-76.95,41,4.9,PERU,ANCASH
5770,19940914,142318,20223006,-10.16,-77.17,153,4.8,PERU,ANCASH
5782,19940926,55959,20223006,-9.69,-77.98,36,4.9,PERU,ANCASH
5817,19941030,191939,20223006,-8.37,-77.82,153,4.5,PERU,ANCASH
5836,19941121,45558,20223006,-9.23,-78.29,37,5,PERU,ANCASH
5861,19941218,165810,20223006,-9.75,-77.76,22,4.5,PERU,ANCASH
5982,19950403,31130,20223006,-9.89,-76.95,93,4.6,PERU,ANCASH
5983,19950403,82324,20223006,-9.36,-76.99,34,4.8,PERU,ANCASH
6112,19950707,174544,20223006,-9.8,-77.37,54,4.7,PERU,ANCASH
6139,19950725,23812,20223006,-9.88,-77.43,26,4.6,PERU,ANCASH
6173,19950816,211740,20223006,-8.92,-78.57,42,4.5,PERU,ANCASH
6185,19950826,54329,20223006,-10.48,-77.86,30,4.7,PERU,ANCASH
6411,19951111,192655,20223006,-10.61,-77.43,51,4.8,PERU,ANCASH
6631,19960315,124539,20223006,-8.542,-77.7501,49,5.3,PERU,ANCASH
6632,19960315,130708,20223006,-8.9453,-77.7486,67,5.1,PERU,ANCASH
6633,19960315,132644,20223006,-9.038,-78.0475,38,5.3,PERU,ANCASH
6691,19960518,80800,20223006,-10.17,-77.8946,38,4.5,PERU,ANCASH
6730,19960623,173015,20223006,-8.4708,-78.094,57,4.5,PERU,ANCASH
6733,19960701,113848,20223006,-8.8293,-78.4784,24,4.7,PERU,ANCASH
6818,19960822,143026,20223006,-10.1421,-77.6975,111,5.2,PERU,ANCASH
7261,19970308,123501,20223006,-9.996,-77.6214,16,4.5,PERU,ANCASH
7671,19980113,200215,20223006,-10.5413,-77.6389,66,4.7,PERU,ANCASH
7724,19980215,23829,20223006,-10.1981,-77.8323,49,4.9,PERU,ANCASH
8068,19980921,121828,20223006,-9.5942,-77.6571,84,4.5,PERU,ANCASH
8274,19990302,174930,20223006,-8.5818,-77.7912,109,4.6,PERU,ANCASH
8370,19990602,230151,20223006,-9.6904,-78.2333,38,4.5,PERU,ANCASH
8390,19990626,32625,20223006,-9.66,-77.421,30,4.7,PERU,ANCASH
8690,20000413,45147,20223006,-10.2213,-78.0113,66,4.9,PERU,ANCASH
8717,20000428,70608,20223006,-8.9546,-77.2507,56,4.8,PERU,ANCASH
8914,20000831,115927,20223006,-10.4027,-77.5914,70,4.5,PERU,ANCASH
9003,20001030,31238,20223006,-9.1164,-78.2364,72,5.1,PERU,ANCASH
9117,20010207,185909,20223006,-9.0803,-77.3107,51,4.8,PERU,ANCASH
9156,20010315,124232,20223006,-8.9189,-77.9385,48,4.9,PERU,ANCASH
9158,20010315,152028,20223006,-8.977,-77.8473,49,4.5,PERU,ANCASH
9192,20010412,1441,20223006,-10.1041,-77.9843,16,4.5,PERU,ANCASH
9238,20010529,71024,20223006,-8.7347,-78.3309,14,4.7,PERU,ANCASH
9717,20010818,172350,20223006,-10.1303,-77.7523,92,4.5,PERU,ANCASH
