ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
8,19600401,131823,20223006,-14.5,-73.5,100,6.1,PERU,APURIMAC
58,19620312,15237,20223006,-13.9,-72.6,91,5,PERU,APURIMAC
218,19640701,224920,20223006,-14.31,-73.256,84,5.6,PERU,APURIMAC
273,19650309,25552,20223006,-13.52,-72.79,40,4.6,PERU,APURIMAC
862,19690112,141253,20223006,-14.081,-72.739,93,5.4,PERU,APURIMAC
897,19690407,184933,20223006,-14.5,-73.4,93,4.8,PERU,APURIMAC
948,19690822,94648,20223006,-14.4,-73.4,93,4.7,PERU,APURIMAC
952,19690830,160654,20223006,-14.372,-73.459,88,5.2,PERU,APURIMAC
1121,19700901,33012,20223006,-13.89,-73.31,72,4.8,PERU,APURIMAC
1230,19710321,143139,20223006,-14.253,-72.277,87,5.6,PERU,APURIMAC
1246,19710523,85832,20223006,-14.174,-72.865,87,5.6,PERU,APURIMAC
1293,19711015,103350,20223006,-14.285,-73.439,80,5.9,PERU,APURIMAC
1364,19720610,73548,20223006,-14.286,-73.179,103,4.5,PERU,APURIMAC
1403,19720930,172638,20223006,-14.38,-73.196,102,4.5,PERU,APURIMAC
1475,19730530,123955,20223006,-14.182,-72.904,83,5.4,PERU,APURIMAC
1512,19731023,73909,20223006,-14.357,-72.948,94,4.5,PERU,APURIMAC
1514,19731025,144952,20223006,-13.668,-72.412,99,5.3,PERU,APURIMAC
1877,19770119,160927,20223006,-14.208,-72.92,98,5.3,PERU,APURIMAC
2023,19781110,172532,20223006,-14.279,-73.463,91,4.9,PERU,APURIMAC
2136,19800116,154917,20223006,-14.557,-73.376,95,6.2,PERU,APURIMAC
2240,19810321,114527,20223006,-14.655,-73.474,91,5.3,PERU,APURIMAC
2299,19810826,95630,20223006,-14.095,-72.596,101,4.9,PERU,APURIMAC
2384,19821016,1245,20223006,-14.16,-73,87,5.3,PERU,APURIMAC
2485,19830924,60510,20223006,-14.13,-72.72,112,5,PERU,APURIMAC
