ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
0,19600113,154034,20223006,-16.145,-72.144,60,7.5,PERU,AREQUIPA
18,19600926,165813,20223006,-16,-72.9,115,5.3,PERU,AREQUIPA
20,19601111,65327,20223006,-16.1,-71.9,114,5.6,PERU,AREQUIPA
22,19601129,191706,20223006,-16,-74,33,5.8,PERU,AREQUIPA
24,19601222,34721,20223006,-16.2,-72.9,147,5.2,PERU,AREQUIPA
26,19610108,52146,20223006,-15.9,-73.1,135,5.1,PERU,AREQUIPA
34,19610701,131040,20223006,-15.3,-74.8,68,5.8,PERU,AREQUIPA
57,19620301,21237,20223006,-15.7,-74.3,64,5.9,PERU,AREQUIPA
67,19620909,32156,20223006,-15.6,-73.4,98,5.3,PERU,AREQUIPA
69,19620922,164531,20223006,-15.5,-73.1,137,5.2,PERU,AREQUIPA
83,19630224,53819,20223006,-15.1,-72.5,97,5.3,PERU,AREQUIPA
91,19630404,82626,20223006,-16.3,-73,95,5,PERU,AREQUIPA
109,19630710,114735,20223006,-16.3,-72.2,90,4.6,PERU,AREQUIPA
112,19630801,183026,20223006,-15,-71.8,100,4.6,PERU,AREQUIPA
136,19631103,73810,20223006,-15.6,-73.3,112,5.2,PERU,AREQUIPA
145,19631112,122645,20223006,-15.8,-72.4,33,4.5,PERU,AREQUIPA
149,19631127,21941,20223006,-16.6,-72.1,79,5.3,PERU,AREQUIPA
167,19640126,90935,20223006,-16.36,-71.62,116,6.2,PERU,AREQUIPA
186,19640319,222904,20223006,-15.483,-72.98,117,5.1,PERU,AREQUIPA
193,19640408,160109,20223006,-16.27,-73.4,100,4.5,PERU,AREQUIPA
201,19640429,175948,20223006,-16.52,-72.2,88,4.9,PERU,AREQUIPA
212,19640606,3252,20223006,-14.93,-72.1,108,4.6,PERU,AREQUIPA
220,19640704,121346,20223006,-16.45,-72.53,81,5.7,PERU,AREQUIPA
222,19640710,191644,20223006,-15.98,-71.6,136,5.3,PERU,AREQUIPA
231,19640917,74114,20223006,-15.78,-72.945,106,5.3,PERU,AREQUIPA
254,19641219,111805,20223006,-16.46,-72.87,108,4.7,PERU,AREQUIPA
256,19650102,52510,20223006,-15.91,-71.04,69,4.9,PERU,AREQUIPA
278,19650328,53028,20223006,-15.277,-72.432,118,5,PERU,AREQUIPA
318,19650728,194247,20223006,-15.7,-73.9,92,4.6,PERU,AREQUIPA
322,19650801,61359,20223006,-16.7,-71.4,97,4.6,PERU,AREQUIPA
345,19651017,140905,20223006,-16.1,-73.5,106,4.9,PERU,AREQUIPA
362,19651208,25538,20223006,-15.5,-74.7,79,4.8,PERU,AREQUIPA
387,19660223,181022,20223006,-15.36,-72.69,123,5.3,PERU,AREQUIPA
418,19660602,170541,20223006,-15.712,-71.799,137,5,PERU,AREQUIPA
468,19660909,52806,20223006,-16.6,-71.8,144,4.5,PERU,AREQUIPA
504,19661027,100739,20223006,-15,-72.06,132,4.7,PERU,AREQUIPA
514,19661109,20158,20223006,-14.9,-71.94,122,4.9,PERU,AREQUIPA
531,19661219,21031,20223006,-16.429,-72.006,115,5.3,PERU,AREQUIPA
532,19661222,155722,20223006,-15.07,-72.06,131,4.6,PERU,AREQUIPA
547,19670211,192503,20223006,-15.14,-72.03,136,4.5,PERU,AREQUIPA
551,19670217,232647,20223006,-15.8,-71.17,90,4.9,PERU,AREQUIPA
565,19670405,181203,20223006,-16.2,-73.28,97,4.9,PERU,AREQUIPA
566,19670407,62959,20223006,-16.12,-72.83,113,4.8,PERU,AREQUIPA
575,19670510,124810,20223006,-16.2,-72,162,4.5,PERU,AREQUIPA
603,19670713,142042,20223006,-15.15,-74.798,82,5.5,PERU,AREQUIPA
608,19670720,202442,20223006,-15.85,-71.02,57,4.9,PERU,AREQUIPA
657,19671115,192954,20223006,-15.9,-73.7,93,4.9,PERU,AREQUIPA
673,19671221,75033,20223006,-16.577,-72.73,70,5.3,PERU,AREQUIPA
692,19680218,105359,20223006,-16.514,-72.117,15,5.3,PERU,AREQUIPA
694,19680224,73135,20223006,-15.53,-71.05,50,4.9,PERU,AREQUIPA
705,19680411,10114,20223006,-15.71,-72.2,41,4.9,PERU,AREQUIPA
716,19680521,144458,20223006,-15.88,-73.02,110,4.6,PERU,AREQUIPA
719,19680527,72424,20223006,-16.73,-72,114,4.5,PERU,AREQUIPA
789,19680702,2319,20223006,-16.23,-72.1,117,4.6,PERU,AREQUIPA
837,19681114,165613,20223006,-16.76,-72.15,94,4.6,PERU,AREQUIPA
850,19681212,234135,20223006,-15.343,-73.847,90,5.3,PERU,AREQUIPA
857,19681230,143920,20223006,-16.142,-70.918,42,5.4,PERU,AREQUIPA
873,19690205,15037,20223006,-15.83,-73.02,119,4.9,PERU,AREQUIPA
905,19690505,91100,20223006,-15.36,-73.03,112,4.8,PERU,AREQUIPA
932,19690723,11532,20223006,-14.86,-71.9,143,4.9,PERU,AREQUIPA
944,19690810,23934,20223006,-15.866,-74.217,77,5.3,PERU,AREQUIPA
946,19690813,220206,20223006,-15.43,-72.09,130,4.8,PERU,AREQUIPA
989,19691130,71524,20223006,-15.3,-71.89,141,4.6,PERU,AREQUIPA
998,19691221,130355,20223006,-16.558,-72.653,78,5.3,PERU,AREQUIPA
1005,19700120,100336,20223006,-15.73,-73.43,102,4.5,PERU,AREQUIPA
1010,19700202,21013,20223006,-16,-71,203,4.9,PERU,AREQUIPA
1014,19700213,172617,20223006,-16.098,-71.695,139,5.7,PERU,AREQUIPA
1016,19700218,73535,20223006,-15.88,-71.49,156,4.9,PERU,AREQUIPA
1022,19700303,91507,20223006,-15.062,-72.692,106,5.3,PERU,AREQUIPA
1035,19700527,62017,20223006,-15.88,-73.14,119,4.8,PERU,AREQUIPA
1088,19700617,44424,20223006,-16.071,-71.836,112,6,PERU,AREQUIPA
1111,19700724,231007,20223006,-16.31,-72.3,110,4.9,PERU,AREQUIPA
1133,19701011,51818,20223006,-16.2,-72.6,33,4.6,PERU,AREQUIPA
1138,19701106,224703,20223006,-15.506,-71.046,25,5.3,PERU,AREQUIPA
1139,19701107,22828,20223006,-15.95,-71.36,72,5.1,PERU,AREQUIPA
1141,19701111,194706,20223006,-15.605,-71.131,25,5.1,PERU,AREQUIPA
1148,19701209,61814,20223006,-16.23,-73.2,71,4.8,PERU,AREQUIPA
1201,19701227,130332,20223006,-16.02,-72.94,111,4.9,PERU,AREQUIPA
1218,19710126,53757,20223006,-15.236,-72.777,99,5.4,PERU,AREQUIPA
1244,19710515,64235,20223006,-15.861,-72.751,124,4.5,PERU,AREQUIPA
1257,19710625,70847,20223006,-16.066,-73.847,87,4.9,PERU,AREQUIPA
1289,19711006,75222,20223006,-15.153,-71.911,133,5,PERU,AREQUIPA
1291,19711014,1111,20223006,-15.63,-72.088,122,4.9,PERU,AREQUIPA
1295,19711021,15737,20223006,-15.555,-73.424,104,5.2,PERU,AREQUIPA
1301,19711104,65734,20223006,-16.503,-71.971,101,4.6,PERU,AREQUIPA
1314,19720115,154232,20223006,-14.893,-72.78,85,4.8,PERU,AREQUIPA
1325,19720221,53126,20223006,-16.572,-71.389,112,5.4,PERU,AREQUIPA
1327,19720229,20455,20223006,-15.073,-71.869,129,5.3,PERU,AREQUIPA
1350,19720512,34328,20223006,-15.94,-71.107,58,4.8,PERU,AREQUIPA
1353,19720521,35032,20223006,-16.046,-73.933,80,5.6,PERU,AREQUIPA
1355,19720525,141752,20223006,-15.341,-72.452,127,4.7,PERU,AREQUIPA
1356,19720525,182537,20223006,-15.543,-73.611,118,4.6,PERU,AREQUIPA
1375,19720705,200229,20223006,-16.367,-73.127,98,4.8,PERU,AREQUIPA
1388,19720811,104430,20223006,-15.457,-73.242,102,5.3,PERU,AREQUIPA
1405,19721009,161720,20223006,-15.424,-73.338,104,5.3,PERU,AREQUIPA
1407,19721012,104333,20223006,-16.454,-71.837,75,4.5,PERU,AREQUIPA
1431,19730116,63141,20223006,-15.786,-74.336,75,5,PERU,AREQUIPA
1445,19730306,145023,20223006,-15.42,-71.41,150,5.5,PERU,AREQUIPA
1447,19730312,101332,20223006,-15.955,-72.17,139,4.6,PERU,AREQUIPA
1466,19730429,141153,20223006,-15.315,-72.068,134,4.6,PERU,AREQUIPA
1472,19730519,181833,20223006,-15.718,-74.064,77,5.5,PERU,AREQUIPA
1477,19730621,130109,20223006,-15.873,-74.136,87,4.7,PERU,AREQUIPA
1484,19730725,185121,20223006,-15.596,-71.822,0,4.5,PERU,AREQUIPA
1486,19730728,221818,20223006,-16.106,-71.342,118,5.9,PERU,AREQUIPA
1494,19730811,220854,20223006,-14.704,-72.72,90,4.9,PERU,AREQUIPA
1504,19731007,42957,20223006,-15.431,-71.196,170,4.9,PERU,AREQUIPA
1510,19731019,90924,20223006,-15.247,-72.449,116,4.6,PERU,AREQUIPA
1515,19731026,40115,20223006,-15.152,-72.242,132,4.9,PERU,AREQUIPA
1534,19731216,132011,20223006,-15.645,-73.798,98,4.6,PERU,AREQUIPA
1538,19731230,92537,20223006,-15.002,-71.975,78,4.8,PERU,AREQUIPA
1540,19740108,54121,20223006,-15.481,-71.871,126,4.9,PERU,AREQUIPA
1561,19740315,112601,20223006,-15.49,-72.125,0,4.9,PERU,AREQUIPA
1566,19740325,165956,20223006,-14.971,-72.93,98,4.5,PERU,AREQUIPA
1574,19740427,60148,20223006,-15.025,-72.168,113,6.6,PERU,AREQUIPA
1595,19740619,185615,20223006,-16.687,-71.907,0,5,PERU,AREQUIPA
1607,19740724,134257,20223006,-15.542,-71.49,143,5,PERU,AREQUIPA
1609,19740726,85944,20223006,-16.442,-71.231,112,5.3,PERU,AREQUIPA
1645,19741006,183243,20223006,-15.236,-74.865,67,5.3,PERU,AREQUIPA
1689,19741027,162123,20223006,-17.002,-71.689,88,4.9,PERU,AREQUIPA
1693,19741105,232044,20223006,-16.888,-71.757,73,5,PERU,AREQUIPA
1715,19750119,184103,20223006,-15.746,-72.623,119,4.9,PERU,AREQUIPA
1720,19750123,110416,20223006,-15.466,-72.931,106,5.7,PERU,AREQUIPA
1740,19750412,153312,20223006,-14.864,-72.649,98,6.1,PERU,AREQUIPA
1742,19750419,131340,20223006,-14.89,-72.902,99,5.1,PERU,AREQUIPA
1746,19750507,23117,20223006,-14.955,-71.91,144,4.9,PERU,AREQUIPA
1751,19750525,214342,20223006,-17.072,-71.738,33,4.7,PERU,AREQUIPA
1760,19750615,174628,20223006,-15.921,-73.201,113,4.7,PERU,AREQUIPA
1810,19760308,85818,20223006,-15.582,-74.487,59,5.4,PERU,AREQUIPA
1830,19760518,31734,20223006,-16.431,-72.438,95,5.3,PERU,AREQUIPA
1835,19760528,73003,20223006,-15.466,-72.415,126,5.1,PERU,AREQUIPA
1844,19760723,154239,20223006,-16.589,-72.158,94,5.4,PERU,AREQUIPA
1847,19760805,222001,20223006,-15.99,-73.349,94,5.4,PERU,AREQUIPA
1849,19760815,145517,20223006,-16.216,-73.546,62,5.5,PERU,AREQUIPA
1851,19760817,60240,20223006,-16.026,-72.831,100,5.4,PERU,AREQUIPA
1856,19760914,142718,20223006,-15.336,-74.44,99,5.3,PERU,AREQUIPA
1864,19761023,54315,20223006,-15.76,-71.821,145,5.3,PERU,AREQUIPA
1868,19761103,170912,20223006,-16.758,-71.881,94,5.4,PERU,AREQUIPA
1902,19770502,83120,20223006,-15.307,-71.873,128,5.1,PERU,AREQUIPA
1945,19771124,164220,20223006,-15.303,-71.166,190,5.1,PERU,AREQUIPA
1949,19771231,75317,20223006,-15.421,-71.713,51,6.1,PERU,AREQUIPA
1972,19780414,134349,20223006,-15.633,-71.917,158,5,PERU,AREQUIPA
2004,19780729,11117,20223006,-15,-71.873,139,4.9,PERU,AREQUIPA
2016,19781011,224429,20223006,-15.992,-71.444,170,5.2,PERU,AREQUIPA
2038,19790108,42028,20223006,-15.162,-72.026,120,5,PERU,AREQUIPA
2046,19790216,100854,20223006,-16.576,-72.565,53,6.9,PERU,AREQUIPA
2048,19790216,221821,20223006,-16.594,-72.661,51,5.8,PERU,AREQUIPA
