ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
2,19600117,25758,20223006,-14.5,-74.5,150,6.4,PERU,AYACUCHO
23,19601217,73831,20223006,-15.2,-73.5,28,5.2,PERU,AYACUCHO
42,19610828,212716,20223006,-14.1,-73.9,100,4.8,PERU,AYACUCHO
84,19630227,110042,20223006,-15.1,-73.6,105,5.5,PERU,AYACUCHO
97,19630517,141105,20223006,-14.1,-73.9,94,5.4,PERU,AYACUCHO
122,19630910,73608,20223006,-14.6,-73.6,176,4.5,PERU,AYACUCHO
139,19631106,10107,20223006,-12.8,-73.9,86,4.9,PERU,AYACUCHO
150,19631129,15845,20223006,-15.1,-73.7,124,5.1,PERU,AYACUCHO
208,19640528,124959,20223006,-13.404,-74.848,103,5.4,PERU,AYACUCHO
216,19640621,65448,20223006,-15.29,-73.413,95,5.3,PERU,AYACUCHO
366,19651219,201025,20223006,-14.855,-73.509,94,5.3,PERU,AYACUCHO
381,19660207,84123,20223006,-15,-73.9,73,5.3,PERU,AYACUCHO
391,19660312,180653,20223006,-14.4,-73.9,85,4.6,PERU,AYACUCHO
427,19660607,15623,20223006,-12.3,-74.3,27,4.5,PERU,AYACUCHO
477,19661017,111157,20223006,-13.636,-74.772,102,5.1,PERU,AYACUCHO
539,19670120,5943,20223006,-15.17,-73.47,113,5.1,PERU,AYACUCHO
544,19670205,164547,20223006,-13,-74.1,109,4.8,PERU,AYACUCHO
592,19670614,31418,20223006,-15.017,-73.388,98,5.8,PERU,AYACUCHO
596,19670624,180731,20223006,-15.434,-73.913,94,5.3,PERU,AYACUCHO
810,19680811,24154,20223006,-15.242,-73.97,96,5.8,PERU,AYACUCHO
856,19681228,162909,20223006,-13.5,-74.5,112,5,PERU,AYACUCHO
882,19690227,50930,20223006,-14.231,-74.577,101,5.4,PERU,AYACUCHO
890,19690315,130630,20223006,-13.648,-74.63,109,5.1,PERU,AYACUCHO
1017,19700226,30342,20223006,-13.702,-73.991,92,5.6,PERU,AYACUCHO
1018,19700226,73547,20223006,-13.747,-74.132,87,5.3,PERU,AYACUCHO
1021,19700302,33025,20223006,-14.596,-73.81,82,4.9,PERU,AYACUCHO
1028,19700406,5635,20223006,-13.735,-74.558,107,4.7,PERU,AYACUCHO
1124,19700911,14353,20223006,-14.69,-74.28,90,4.6,PERU,AYACUCHO
1186,19701214,173036,20223006,-15.227,-73.597,79,5.1,PERU,AYACUCHO
1292,19711015,24204,20223006,-15.388,-74.16,91,5.3,PERU,AYACUCHO
1321,19720204,51507,20223006,-15.073,-73.224,89,4.6,PERU,AYACUCHO
1328,19720309,93846,20223006,-14.51,-75.011,91,4.6,PERU,AYACUCHO
1346,19720428,21613,20223006,-13.306,-74.037,111,4.6,PERU,AYACUCHO
1372,19720703,145312,20223006,-13.833,-74.463,35,5,PERU,AYACUCHO
1391,19720817,145053,20223006,-13.931,-74.66,19,5.7,PERU,AYACUCHO
1404,19721006,93628,20223006,-15.057,-73.328,121,4.5,PERU,AYACUCHO
