ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
3,19600123,33732,20223006,-12.5,-68.5,300,5.8,BOLIVIA,BOLIVIA
56,19620125,72604,20223006,-15.7,-69.6,190,4.6,BOLIVIA,BOLIVIA
198,19640425,133607,20223006,-15.59,-69.5,268,4.5,BOLIVIA,BOLIVIA
672,19671221,51756,20223006,-17.87,-69.277,153,4.8,BOLIVIA,BOLIVIA
853,19681227,20452,20223006,-17.434,-69.412,169,5.2,BOLIVIA,BOLIVIA
1107,19700712,181354,20223006,-15.852,-69.602,238,5.3,BOLIVIA,BOLIVIA
1216,19710121,132310,20223006,-17.375,-69.394,170,5.7,BOLIVIA,BOLIVIA
1452,19730326,203747,20223006,-17.221,-69.353,180,4.2,BOLIVIA,BOLIVIA
1490,19730803,103347,20223006,-15.988,-69.425,264,4.8,BOLIVIA,BOLIVIA
1506,19731009,74146,20223006,-17.339,-69.434,174,5.3,BOLIVIA,BOLIVIA
1633,19741003,212338,20223006,-17.16,-69.134,181,4.3,BOLIVIA,BOLIVIA
1765,19750712,64738,20223006,-17.318,-69.318,151,5.8,BOLIVIA,BOLIVIA
1858,19760928,135230,20223006,-17.575,-69.311,146,5.3,BOLIVIA,BOLIVIA
1943,19771108,40024,20223006,-15.837,-69.51,264,4.8,BOLIVIA,BOLIVIA
2006,19780802,73253,20223006,-17.273,-69.503,169,4.5,BOLIVIA,BOLIVIA
2063,19790319,123933,20223006,-15.936,-69.426,247,5.1,BOLIVIA,BOLIVIA
2098,19790808,133639,20223006,-15.798,-69.516,272,4.5,BOLIVIA,BOLIVIA
2108,19790915,100216,20223006,-15.7,-69.529,231,5.8,BOLIVIA,BOLIVIA
2170,19800529,232111,20223006,-17.242,-69.561,179,4.9,BOLIVIA,BOLIVIA
2416,19830101,53156,20223006,-16.94,-69.11,172,6.3,BOLIVIA,BOLIVIA
2514,19840104,101054,20223006,-17.166,-69.29,178,5.1,BOLIVIA,BOLIVIA
2581,19840506,185426,20223006,-17.688,-69.319,161,5,BOLIVIA,BOLIVIA
3897,19891011,60124,20223006,-16.08,-68.8,198,5,BOLIVIA,BOLIVIA
4145,19900510,20452,20223006,-17.02,-69.24,166,5.3,BOLIVIA,BOLIVIA
4150,19900517,35147,20223006,-15.68,-69.45,108,4.6,BOLIVIA,BOLIVIA
4349,19900831,54906,20223006,-16.201,-69.227,206,4,BOLIVIA,BOLIVIA
4406,19901021,34302,20223006,-17.362,-69.272,182,4.8,BOLIVIA,BOLIVIA
4431,19901121,164549,20223006,-17.534,-69.097,169,4.5,BOLIVIA,BOLIVIA
4713,19910510,220752,20223006,-17.26,-68.96,159,5.3,BOLIVIA,BOLIVIA
4728,19910609,125619,20223006,-17.873,-69.273,148,5,BOLIVIA,BOLIVIA
4732,19910614,192353,20223006,-15.639,-69.474,261,4.4,BOLIVIA,BOLIVIA
4853,19911202,172721,20223006,-15.75,-69.59,220,5.5,BOLIVIA,BOLIVIA
4886,19920111,113911,20223006,-16.86,-68.68,125,4.9,BOLIVIA,BOLIVIA
4983,19920509,2058,20223006,-17.46,-69.24,92,5.7,BOLIVIA,BOLIVIA
5291,19930501,14327,20223006,-15.721,-69.357,260,5.4,BOLIVIA,BOLIVIA
5347,19930617,200512,20223006,-17.527,-69.401,167,4.6,BOLIVIA,BOLIVIA
5663,19940609,11518,20223006,-14.365,-68.439,650,6.6,BOLIVIA,BOLIVIA
5896,19950127,55011,20223006,-17.341,-69.322,174,4.7,BOLIVIA,BOLIVIA
5968,19950324,214915,20223006,-17.437,-69.145,172,4.3,BOLIVIA,BOLIVIA
6115,19950708,100902,20223006,-17.146,-69.37,177,4.4,BOLIVIA,BOLIVIA
6118,19950711,193504,20223006,-17.16,-69.41,124,4.9,BOLIVIA,BOLIVIA
6414,19951113,151233,20223006,-17.85,-69.26,74,4.9,BOLIVIA,BOLIVIA
6429,19951122,5329,20223006,-16.95,-69.17,77,4.9,BOLIVIA,BOLIVIA
7161,19970114,84651,20223006,-17.219,-69.324,100,4.3,BOLIVIA,BOLIVIA
7171,19970120,81401,20223006,-17.363,-69.451,173,4.4,BOLIVIA,BOLIVIA
7273,19970319,104302,20223006,-15.725,-69.255,225,4.2,BOLIVIA,BOLIVIA
7501,19970904,212328,20223006,-16.8298,-69.1686,200,5.1,BOLIVIA,BOLIVIA
7620,19971128,225330,20223006,-13.1924,-68.8403,671,6.7,BOLIVIA,BOLIVIA
7817,19980328,114423,20223006,-17.8589,-69.2836,169,5.1,BOLIVIA,BOLIVIA
8095,19981012,55906,20223006,-17.442,-69.293,150,4,BOLIVIA,BOLIVIA
8168,19981201,155836,20223006,-16.5293,-69.0057,145,5.6,BOLIVIA,BOLIVIA
8223,19981224,93055,20223006,-17.404,-69.274,154,4.8,BOLIVIA,BOLIVIA
8267,19990216,144920,20223006,-17.432,-69.373,100,4.7,BOLIVIA,BOLIVIA
8440,19990813,95430,20223006,-17.2939,-69.4473,173,5.3,BOLIVIA,BOLIVIA
8527,19991110,135733,20223006,-17.714,-69.348,151,5,BOLIVIA,BOLIVIA
8600,20000130,114926,20223006,-17.409,-69.46,169,5,BOLIVIA,BOLIVIA
8695,20000415,160745,20223006,-17.527,-69.325,158,4,BOLIVIA,BOLIVIA
9486,20010629,62848,20223006,-14.5102,-68.8718,200,5.1,BOLIVIA,BOLIVIA
9796,20011012,132843,20223006,-15.865,-69.587,228,4.2,BOLIVIA,BOLIVIA
10097,20020630,50829,20223006,-17.346,-69.088,133,4.3,BOLIVIA,BOLIVIA
10220,20021128,192356,20223006,-15.7629,-69.4533,198,5.3,BOLIVIA,BOLIVIA
10328,20030404,75040,20223006,-17.417,-69.233,180,4.1,BOLIVIA,BOLIVIA
10429,20030710,222147,20223006,-17.884,-69.292,134,4.3,BOLIVIA,BOLIVIA
10807,20040630,60840,20223006,-15.6,-69.342,259,4,BOLIVIA,BOLIVIA
10813,20040706,114311,20223006,-15.368,-69.244,294,4.2,BOLIVIA,BOLIVIA
10837,20040725,140107,20223006,-17.5144,-69.3749,158,5.7,BOLIVIA,BOLIVIA
11055,20050307,25714,20223006,-17.346,-69.403,170,4.2,BOLIVIA,BOLIVIA
11192,20050614,144648,20223006,-17.503,-69.393,163,4,BOLIVIA,BOLIVIA
11254,20050806,73627,20223006,-17.1821,-69.4131,113,5.7,BOLIVIA,BOLIVIA
11270,20050817,172227,20223006,-17.278,-69.317,178,4.2,BOLIVIA,BOLIVIA
11314,20050920,112455,20223006,-17.539,-69.311,165,4,BOLIVIA,BOLIVIA
11361,20051008,192605,20223006,-17.592,-69.201,139,4.6,BOLIVIA,BOLIVIA
11421,20051110,212141,20223006,-17.422,-69.145,147,4.2,BOLIVIA,BOLIVIA
11486,20051123,94927,20223006,-17.207,-69.478,160,4.3,BOLIVIA,BOLIVIA
11512,20051129,53218,20223006,-17.79,-69.118,131,4.1,BOLIVIA,BOLIVIA
11734,20060329,62955,20223006,-17.27,-69.525,166,4,BOLIVIA,BOLIVIA
11739,20060406,15533,20223006,-17.403,-69.317,150,4,BOLIVIA,BOLIVIA
11796,20060624,112951,20223006,-16.039,-69.263,225,4.3,BOLIVIA,BOLIVIA
11931,20061122,154520,20223006,-17.314,-69.509,145,4.1,BOLIVIA,BOLIVIA
12040,20070329,20409,20223006,-17.585,-69.094,172,4,BOLIVIA,BOLIVIA
12361,20070825,140016,20223006,-17.24,-69.386,171,4,BOLIVIA,BOLIVIA
12733,20080827,105951,20223006,-15.944,-69.43,231,4.2,BOLIVIA,BOLIVIA
12738,20080904,31925,20223006,-15.762,-69.35,249,4.2,BOLIVIA,BOLIVIA
12760,20081006,1829,20223006,-17.6055,-69.3647,149,5.3,BOLIVIA,BOLIVIA
12817,20081224,35423,20223006,-17.456,-69.239,169,4.2,BOLIVIA,BOLIVIA
13044,20090930,190314,20223006,-15.7494,-69.7093,269,6.1,BOLIVIA,BOLIVIA
13119,20100117,110944,20223006,-17.559,-69.2779,32,5,BOLIVIA,BOLIVIA
13208,20100420,50832,20223006,-17.294,-69.3942,57,5,BOLIVIA,BOLIVIA
13220,20100426,5655,20223006,-17.1593,-69.3432,36,4.9,BOLIVIA,BOLIVIA
13284,20100623,23324,20223006,-17.311,-69.34,166,4.2,BOLIVIA,BOLIVIA
13329,20100731,41659,20223006,-17.1531,-69.26,169,4.7,BOLIVIA,BOLIVIA
13412,20100919,171900,20223006,-17.0722,-69.3281,176,4.6,BOLIVIA,BOLIVIA
13481,20101019,230050,20223006,-16.9913,-69.3426,176,4.5,BOLIVIA,BOLIVIA
14076,20110714,225353,20223006,-15.8716,-69.3312,260,4.9,BOLIVIA,BOLIVIA
14109,20110802,180305,20223006,-17.2517,-69.1163,37,4.7,BOLIVIA,BOLIVIA
14190,20110903,82056,20223006,-15.2255,-68.6681,117,4.5,BOLIVIA,BOLIVIA
14525,20111115,72411,20223006,-16.0024,-69.2755,273,4.6,BOLIVIA,BOLIVIA
16046,20130915,160352,20223006,-17.4664,-69.0648,160,4.7,BOLIVIA,BOLIVIA
16345,20131216,192956,20223006,-17.6115,-69.3356,147,4.8,BOLIVIA,BOLIVIA
16438,20140123,161312,20223006,-17.5801,-69.1898,33,4.9,BOLIVIA,BOLIVIA
17165,20141001,232714,20223006,-16.8989,-69.279,191,4,BOLIVIA,BOLIVIA
17353,20141203,210820,20223006,-17.8352,-69.2156,167,4,BOLIVIA,BOLIVIA
18528,20160407,13552,20223006,-15.9025,-69.4387,287,4.9,BOLIVIA,BOLIVIA
18659,20160601,5108,20223006,-15.9596,-69.5049,284,4.9,BOLIVIA,BOLIVIA
18958,20161013,90842,20223006,-17.2135,-69.4907,223,4.5,BOLIVIA,BOLIVIA
19519,20170512,71901,20223006,-16.1572,-69.4939,257,4.9,BOLIVIA,BOLIVIA
19830,20171002,220559,20223006,-15.9438,-69.5226,255,4.5,BOLIVIA,BOLIVIA
19856,20171022,112845,20223006,-17.4394,-69.3812,165,4.2,BOLIVIA,BOLIVIA
20198,20180531,830,20223006,-15.7946,-69.9076,256,4.7,BOLIVIA,BOLIVIA
20251,20180710,171651,20223006,-15.909,-69.341,280,4.6,BOLIVIA,BOLIVIA
20415,20181105,43630,20223006,-17.3914,-69.3083,167,4.2,BOLIVIA,BOLIVIA
20891,20190823,34151,20223006,-17.478,-69.3863,173,4.1,BOLIVIA,BOLIVIA
20962,20191012,231758,20223006,-15.6547,-69.9093,244,4.2,BOLIVIA,BOLIVIA
21374,20200503,25257,20223006,-17.5679,-69.3845,175,4.1,BOLIVIA,BOLIVIA
21470,20200602,102916,20223006,-17.3388,-69.4126,167,4.7,BOLIVIA,BOLIVIA
