ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
10,19600512,120924,20223006,-9,-72.5,60,5.8,BRASIL,BRASIL
11,19600704,80207,20223006,-8,-71,600,6.2,BRASIL,BRASIL
143,19631109,211532,20223006,-9.127,-71.483,591,7.6,BRASIL,BRASIL
144,19631110,10039,20223006,-8.976,-71.171,594,6.3,BRASIL,BRASIL
249,19641128,164931,20223006,-7.912,-71.367,640,5.6,BRASIL,BRASIL
255,19641222,2449,20223006,-9.615,-71.265,605,5.5,BRASIL,BRASIL
347,19651103,13904,20223006,-9.121,-71.303,592,6.1,BRASIL,BRASIL
424,19660605,190310,20223006,-9.8,-71,590,5,BRASIL,BRASIL
540,19670127,83852,20223006,-8.956,-71.389,605,5,BRASIL,BRASIL
549,19670215,161113,20223006,-9.115,-71.296,600,6.2,BRASIL,BRASIL
559,19670327,82636,20223006,-9.003,-71.296,606,5.6,BRASIL,BRASIL
691,19680208,225005,20223006,-9.162,-71.396,594,5.1,BRASIL,BRASIL
814,19680827,51736,20223006,-8.871,-72.856,28,5.3,BRASIL,BRASIL
1309,19711213,161901,20223006,-8.945,-71.627,607,5.6,BRASIL,BRASIL
1313,19720112,95911,20223006,-6.88,-71.772,569,5.9,BRASIL,BRASIL
1315,19720121,191859,20223006,-6.693,-71.794,565,5.7,BRASIL,BRASIL
1425,19721220,161127,20223006,-9.803,-71.131,601,4.9,BRASIL,BRASIL
1808,19760229,55907,20223006,-9.115,-71.315,603,5.2,BRASIL,BRASIL
2001,19780711,121708,20223006,-7.911,-71.312,634,6.2,BRASIL,BRASIL
2145,19800306,94614,20223006,-6.081,-70.994,15,5.3,BRASIL,BRASIL
2147,19800306,151358,20223006,-9.184,-71.231,629,5.1,BRASIL,BRASIL
2158,19800328,61656,20223006,-9.194,-71.443,506,5.1,BRASIL,BRASIL
2245,19810413,213252,20223006,-8.855,-72.956,24,5.3,BRASIL,BRASIL
2317,19811111,75246,20223006,-8.929,-72.958,60,5.1,BRASIL,BRASIL
2457,19830602,201251,20223006,-9.51,-71.25,598,6.3,BRASIL,BRASIL
2523,19840117,33208,20223006,-8.87,-71.356,614,5.6,BRASIL,BRASIL
2667,19841224,133645,20223006,-9.514,-71.338,545,5.9,BRASIL,BRASIL
2725,19850501,132744,20223006,-8.81,-71.81,608,6.3,BRASIL,BRASIL
2726,19850501,141115,20223006,-9.027,-71.231,616,4.5,BRASIL,BRASIL
2729,19850503,112626,20223006,-8.87,-71.87,541,5.2,BRASIL,BRASIL
2911,19860301,122322,20223006,-8.699,-71.257,620,4.4,BRASIL,BRASIL
2932,19860326,220658,20223006,-7.125,-71.638,609,6.3,BRASIL,BRASIL
3010,19860714,64242,20223006,-9.35,-72.49,182,5.2,BRASIL,BRASIL
3794,19890505,182831,20223006,-8.28,-71.97,547,6.7,BRASIL,BRASIL
3795,19890505,191045,20223006,-7.254,-71.08,600,5,BRASIL,BRASIL
4367,19900908,25811,20223006,-7.04,-73.67,168,4.8,BRASIL,BRASIL
4400,19901017,143005,20223006,-8.97,-71.92,592,7,BRASIL,BRASIL
4401,19901017,151219,20223006,-9.227,-71.056,600,5.4,BRASIL,BRASIL
4564,19910321,90132,20223006,-8.62,-71.94,206,4.8,BRASIL,BRASIL
5298,19930506,130318,20223006,-8.472,-71.485,573,6.1,BRASIL,BRASIL
5333,19930526,74757,20223006,-8.15,-73.27,188,4.9,BRASIL,BRASIL
5597,19940414,234058,20223006,-7.74,-72.4,181,4.6,BRASIL,BRASIL
5819,19941104,11259,20223006,-9.4,-71.29,570,6.2,BRASIL,BRASIL
5821,19941105,120520,20223006,-9.49,-71.04,561,6,BRASIL,BRASIL
5918,19950212,221539,20223006,-6.61,-72.62,173,4.9,BRASIL,BRASIL
5953,19950308,35117,20223006,-8.3,-72.95,166,5.2,BRASIL,BRASIL
6020,19950507,90036,20223006,-9.07,-71.65,608,4.9,BRASIL,BRASIL
6099,19950627,232753,20223006,-9.07,-72.75,114,4.7,BRASIL,BRASIL
6799,19960811,22722,20223006,-9.2201,-72.3477,175,4.6,BRASIL,BRASIL
7244,19970225,22845,20223006,-8.082,-71.855,600,4.1,BRASIL,BRASIL
7258,19970307,94224,20223006,-6.485,-71.217,628,5.4,BRASIL,BRASIL
7280,19970325,164332,20223006,-9,-71.316,609,4.2,BRASIL,BRASIL
7281,19970325,164433,20223006,-9.063,-71.295,603,6.1,BRASIL,BRASIL
7282,19970325,192541,20223006,-8.8214,-71.4188,592,5.3,BRASIL,BRASIL
7382,19970609,142006,20223006,-5.831,-71.781,603,4.7,BRASIL,BRASIL
7649,19980101,204212,20223006,-7.4618,-73.6655,124,4.5,BRASIL,BRASIL
7966,19980703,63953,20223006,-7.7862,-70.1297,540,5.7,BRASIL,BRASIL
8132,19981115,82301,20223006,-8.8345,-71.6123,574,5.3,BRASIL,BRASIL
8190,19981210,82101,20223006,-8.2395,-72.2811,704,5.8,BRASIL,BRASIL
8574,19991227,233510,20223006,-9.7954,-70.3331,566,5.1,BRASIL,BRASIL
8870,20000811,165229,20223006,-8.499,-70.65,648,4.2,BRASIL,BRASIL
9171,20010325,161405,20223006,-9.625,-71.15,600,4.2,BRASIL,BRASIL
9193,20010412,3845,20223006,-8.797,-71.309,594,4.2,BRASIL,BRASIL
9229,20010522,34056,20223006,-7.673,-73.304,268,4.1,BRASIL,BRASIL
9706,20010812,53417,20223006,-7.5357,-73.9253,154,4.7,BRASIL,BRASIL
9905,20011230,4747,20223006,-8.3863,-73.3265,146,4.6,BRASIL,BRASIL
10070,20020523,65744,20223006,-8.755,-71.23,625,4.5,BRASIL,BRASIL
10078,20020605,121015,20223006,-9.249,-71.257,582,4.5,BRASIL,BRASIL
10133,20020811,50632,20223006,-5.576,-71.882,568,5.5,BRASIL,BRASIL
10170,20021012,200900,20223006,-8.7264,-72.0051,596,6.9,BRASIL,BRASIL
10348,20030427,225729,20223006,-8.3385,-71.9458,668,6.2,BRASIL,BRASIL
10417,20030620,61918,20223006,-7.8031,-71.2036,624,7.1,BRASIL,BRASIL
10427,20030708,32529,20223006,-7.7563,-72.0527,599,5.5,BRASIL,BRASIL
10635,20031228,71419,20223006,-9.2821,-70.7279,573,5.2,BRASIL,BRASIL
11015,20050129,93520,20223006,-6.723,-71.915,321,4.1,BRASIL,BRASIL
11098,20050405,160119,20223006,-9.6724,-70.1817,599,5.1,BRASIL,BRASIL
11137,20050502,60444,20223006,-9.1517,-72.002,591,5.5,BRASIL,BRASIL
11351,20051004,230211,20223006,-9.324,-71.382,605,4.7,BRASIL,BRASIL
11737,20060403,33347,20223006,-8.903,-71.195,594,4.2,BRASIL,BRASIL
11778,20060607,22603,20223006,-7.5314,-73.9485,125,5.5,BRASIL,BRASIL
11982,20070203,235701,20223006,-9.319,-71.388,556,4.3,BRASIL,BRASIL
12037,20070327,120454,20223006,-6.2,-71.743,607,4.2,BRASIL,BRASIL
12080,20070508,222911,20223006,-8.661,-71.48,488,4,BRASIL,BRASIL
12143,20070721,132652,20223006,-8.8252,-71.4884,645,6.3,BRASIL,BRASIL
12552,20080112,153806,20223006,-7.553,-71.617,560,4.8,BRASIL,BRASIL
12703,20080709,85238,20223006,-7.012,-71.62,521,4,BRASIL,BRASIL
12789,20081106,233742,20223006,-9.311,-71.565,519,4,BRASIL,BRASIL
12823,20081229,185026,20223006,-9.252,-72.3521,168,4.7,BRASIL,BRASIL
12843,20090129,222753,20223006,-8.7998,-72.389,690,5.8,BRASIL,BRASIL
12901,20090421,173226,20223006,-9.5393,-70.9662,653,5.2,BRASIL,BRASIL
12942,20090608,202006,20223006,-8.693,-71.506,536,5.4,BRASIL,BRASIL
13219,20100425,230948,20223006,-6.8177,-72.8679,27,5.6,BRASIL,BRASIL
13253,20100524,161819,20223006,-8.5197,-72.3406,632,6.6,BRASIL,BRASIL
13442,20100930,233032,20223006,-8.4389,-72.0492,697,5.3,BRASIL,BRASIL
13492,20101030,95350,20223006,-7.5762,-70.9568,429,5.1,BRASIL,BRASIL
13589,20101217,221415,20223006,-8.7427,-71.5048,638,5.3,BRASIL,BRASIL
