ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
179,19640221,215213,20223006,-7.34,-79.15,36,4.8,PERU,CAJAMARCA
284,19650422,221405,20223006,-5.997,-78.642,111,5,PERU,CAJAMARCA
354,19651129,170703,20223006,-6.075,-78.714,28,5.6,PERU,CAJAMARCA
469,19660910,200900,20223006,-5.3,-78.7,72,4.8,PERU,CAJAMARCA
675,19671223,225743,20223006,-6.467,-78.422,14,4.9,PERU,CAJAMARCA
865,19690115,81958,20223006,-6.3,-78.8,153,4.6,PERU,CAJAMARCA
1223,19710210,81313,20223006,-5.118,-78.751,65,4.9,PERU,CAJAMARCA
1557,19740305,5544,20223006,-6.721,-78.231,100,4.5,PERU,CAJAMARCA
1721,19750201,125052,20223006,-6.107,-79.233,96,5.1,PERU,CAJAMARCA
2096,19790730,134318,20223006,-7.27,-78.167,71,5,PERU,CAJAMARCA
2166,19800504,232856,20223006,-5.661,-79.156,79,5,PERU,CAJAMARCA
2184,19800805,102150,20223006,-5.523,-79.112,33,4.9,PERU,CAJAMARCA
2191,19800903,111800,20223006,-5.64,-79.365,76,4.8,PERU,CAJAMARCA
2262,19810524,85106,20223006,-5.576,-78.756,33,4.7,PERU,CAJAMARCA
2440,19830404,20110,20223006,-5.58,-78.78,52,5.1,PERU,CAJAMARCA
2767,19850726,175701,20223006,-5.24,-79.01,61,5.6,PERU,CAJAMARCA
2821,19851009,34833,20223006,-5.475,-78.568,68,4.7,PERU,CAJAMARCA
3242,19870320,164027,20223006,-7.03,-78.61,23,5,PERU,CAJAMARCA
3451,19871003,121556,20223006,-7.31,-77.94,78,4.5,PERU,CAJAMARCA
4091,19900318,125043,20223006,-6.78,-78.2,61,4.6,PERU,CAJAMARCA
4207,19900606,94035,20223006,-6.4,-78.79,39,4.5,PERU,CAJAMARCA
4250,19900625,41206,20223006,-5.256,-79.235,33,4.4,PERU,CAJAMARCA
4303,19900805,194509,20223006,-6.82,-78.26,56,4.8,PERU,CAJAMARCA
4567,19910325,25759,20223006,-5.71,-79.33,92,4.9,PERU,CAJAMARCA
4582,19910404,190444,20223006,-6.38,-78.48,12,4.6,PERU,CAJAMARCA
4748,19910709,65933,20223006,-7.39,-77.9,59,4.7,PERU,CAJAMARCA
5031,19920620,233501,20223006,-5.28,-79.19,10,4.5,PERU,CAJAMARCA
