ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
161,19631230,162048,20223006,-18.3,-70.1,150,4.6,PERU,CHILE
277,19650324,111705,20223006,-18.457,-69.96,100,4.9,PERU,CHILE
303,19650624,32949,20223006,-18.375,-70.133,85,5.3,PERU,CHILE
314,19650714,122957,20223006,-17.65,-69.42,141,5.3,PERU,CHILE
349,19651110,14722,20223006,-17.89,-69.52,143,4.8,PERU,CHILE
401,19660412,13107,20223006,-17.68,-69.64,141,4.7,PERU,CHILE
473,19660930,92913,20223006,-18.272,-69.506,119,5.4,PERU,CHILE
545,19670208,121800,20223006,-18.32,-70.038,107,4.7,PERU,CHILE
682,19680108,184427,20223006,-18.487,-69.804,115,5.6,PERU,CHILE
813,19680826,172435,20223006,-17.64,-69.57,173,4.6,PERU,CHILE
852,19681221,152831,20223006,-18.353,-69.973,90,4.9,PERU,CHILE
903,19690420,101646,20223006,-17.77,-69.67,140,4.7,PERU,CHILE
996,19691216,211244,20223006,-17.67,-69.77,153,4.5,PERU,CHILE
1294,19711016,210820,20223006,-17.674,-69.443,150,5.2,PERU,CHILE
1298,19711028,144015,20223006,-18.06,-69.485,131,5.3,PERU,CHILE
1320,19720130,81629,20223006,-18.019,-69.489,134,4.9,PERU,CHILE
1367,19720616,143314,20223006,-18.205,-69.548,116,5.2,PERU,CHILE
1414,19721028,172238,20223006,-17.867,-69.524,141,5.1,PERU,CHILE
1497,19730826,12328,20223006,-17.862,-69.434,169,4.7,PERU,CHILE
1511,19731022,61517,20223006,-17.823,-69.608,35,5.1,PERU,CHILE
1620,19740831,113651,20223006,-18.363,-69.662,123,5.2,PERU,CHILE
1799,19760106,235427,20223006,-18.111,-69.569,118,5.8,PERU,CHILE
1857,19760918,72034,20223006,-17.619,-69.585,56,5.1,PERU,CHILE
1946,19771127,35839,20223006,-18.168,-69.536,133,5.4,PERU,CHILE
2009,19780813,152019,20223006,-18.279,-69.864,144,5.1,PERU,CHILE
2022,19781110,121901,20223006,-18.067,-69.396,127,5.5,PERU,CHILE
2179,19800710,42541,20223006,-18.577,-69.682,151,4.3,PERU,CHILE
2250,19810425,24801,20223006,-17.934,-69.652,144,5.1,PERU,CHILE
2257,19810507,214549,20223006,-18.098,-69.638,156,4.5,PERU,CHILE
2329,19820102,64534,20223006,-18.516,-70.1,110,4.2,PERU,CHILE
2338,19820309,171216,20223006,-17.626,-69.499,158,5.3,PERU,CHILE
2401,19821129,153907,20223006,-18.32,-69.56,115,5.6,PERU,CHILE
2428,19830225,224955,20223006,-18.27,-69.44,146,6.1,PERU,CHILE
2451,19830506,115017,20223006,-18.67,-69.8,102,5.3,PERU,CHILE
2458,19830603,44944,20223006,-18.25,-69.7,132,5.2,PERU,CHILE
2482,19830910,91259,20223006,-18.05,-69.58,137,5.3,PERU,CHILE
2673,19850118,63728,20223006,-17.965,-69.657,137,4.2,PERU,CHILE
2810,19850919,94843,20223006,-17.62,-69.55,161,4.6,PERU,CHILE
2863,19851220,25004,20223006,-17.81,-69.51,158,4.9,PERU,CHILE
2989,19860608,202541,20223006,-18.604,-69.693,141,4.7,PERU,CHILE
3037,19860907,215154,20223006,-18.567,-69.644,119,4.7,PERU,CHILE
3052,19861003,182028,20223006,-17.962,-69.564,143,4.1,PERU,CHILE
3088,19861128,43753,20223006,-18.275,-69.423,167,4.4,PERU,CHILE
3245,19870331,100056,20223006,-18.229,-69.811,154,4.4,PERU,CHILE
3259,19870414,53127,20223006,-18.081,-69.299,148,4.4,PERU,CHILE
3346,19870619,210020,20223006,-18.03,-69.68,151,5.3,PERU,CHILE
3458,19871009,230912,20223006,-17.77,-69.59,189,4.9,PERU,CHILE
3494,19871127,143310,20223006,-17.73,-69.349,155,4.8,PERU,CHILE
3532,19880130,102758,20223006,-17.983,-69.717,150,4.8,PERU,CHILE
3544,19880223,80154,20223006,-17.872,-69.358,162,4.6,PERU,CHILE
3578,19880419,13625,20223006,-17.9,-69.33,164,5.3,PERU,CHILE
3602,19880710,84756,20223006,-18.09,-69.647,163,4.3,PERU,CHILE
3647,19881229,152910,20223006,-17.65,-69.5,169,5.5,PERU,CHILE
3726,19890319,101825,20223006,-17.83,-69.7,104,5.1,PERU,CHILE
3871,19890813,93408,20223006,-18.471,-70.306,97,4.4,PERU,CHILE
4015,19900123,170253,20223006,-18.112,-69.719,147,4.7,PERU,CHILE
4415,19901103,194709,20223006,-17.605,-69.487,144,4.8,PERU,CHILE
4537,19910301,140439,20223006,-18.46,-70.19,78,5.6,PERU,CHILE
4557,19910314,93009,20223006,-17.945,-69.523,153,4.3,PERU,CHILE
4697,19910502,224807,20223006,-18.562,-69.713,128,4.7,PERU,CHILE
4729,19910610,233918,20223006,-18.46,-69.854,130,4.3,PERU,CHILE
4736,19910621,153435,20223006,-18.262,-69.475,158,4.3,PERU,CHILE
4750,19910712,135124,20223006,-18.523,-69.736,126,4,PERU,CHILE
4880,19920105,34320,20223006,-17.91,-69.45,144,5.3,PERU,CHILE
4896,19920123,31733,20223006,-17.922,-69.737,145,4.5,PERU,CHILE
5280,19930418,82848,20223006,-18.353,-69.44,126,5.2,PERU,CHILE
5437,19931121,75656,20223006,-18.164,-69.719,153,4.6,PERU,CHILE
5716,19940717,60100,20223006,-18.64,-69.73,86,5.2,PERU,CHILE
5855,19941213,32929,20223006,-17.83,-69.51,32,4.8,PERU,CHILE
5883,19950110,230806,20223006,-17.724,-69.635,153,4.6,PERU,CHILE
5921,19950215,52116,20223006,-17.932,-69.418,134,4.6,PERU,CHILE
5996,19950414,235730,20223006,-18.195,-69.482,137,4,PERU,CHILE
6780,19960804,103510,20223006,-18.054,-69.341,136,4.2,PERU,CHILE
7295,19970401,184211,20223006,-18.2178,-69.7065,113,6.3,PERU,CHILE
7308,19970409,120409,20223006,-18.285,-69.509,145,4.5,PERU,CHILE
7528,19970924,201639,20223006,-17.669,-69.431,150,4.3,PERU,CHILE
7767,19980304,172644,20223006,-18.0812,-69.6897,48,5.6,PERU,CHILE
7779,19980310,191651,20223006,-17.716,-69.462,149,4.1,PERU,CHILE
7798,19980317,101028,20223006,-18.105,-69.332,137,4.2,PERU,CHILE
