ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
19,19601103,220219,20223006,-14.4,-71.6,55,5.3,PERU,CUSCO
49,19611108,193000,20223006,-13.98,-71.9,20,5.2,PERU,CUSCO
50,19611110,20734,20223006,-14.3,-71.9,68,5.6,PERU,CUSCO
110,19630722,163322,20223006,-12.5,-73.7,79,4.9,PERU,CUSCO
117,19630818,230754,20223006,-14.2,-71.9,31,5,PERU,CUSCO
129,19631027,74526,20223006,-14.7,-71.7,121,4.7,PERU,CUSCO
160,19631227,959,20223006,-13.4,-72.7,42,4.6,PERU,CUSCO
168,19640128,130350,20223006,-14.82,-71.85,136,4.6,PERU,CUSCO
241,19641017,74533,20223006,-13.46,-72.6,44,4.9,PERU,CUSCO
242,19641028,30708,20223006,-13.5,-72.67,54,4.9,PERU,CUSCO
289,19650508,222240,20223006,-13.7,-71.6,20,4.8,PERU,CUSCO
298,19650605,204110,20223006,-13.74,-71.6,73,4.7,PERU,CUSCO
332,19650914,45024,20223006,-12.09,-72.57,72,4.8,PERU,CUSCO
665,19671210,234633,20223006,-14.4,-72.2,33,4.9,PERU,CUSCO
902,19690420,43048,20223006,-14.72,-72.28,116,4.9,PERU,CUSCO
941,19690801,193214,20223006,-13.54,-72.58,47,4.9,PERU,CUSCO
981,19691017,80959,20223006,-14.969,-71.51,137,5.4,PERU,CUSCO
987,19691111,105458,20223006,-14.78,-71.12,182,4.7,PERU,CUSCO
1238,19710421,40633,20223006,-14.369,-71.812,113,5,PERU,CUSCO
1322,19720208,204410,20223006,-14.136,-71.665,64,5.2,PERU,CUSCO
1427,19721225,193908,20223006,-13.731,-71.505,0,4.5,PERU,CUSCO
1436,19730201,145135,20223006,-12.919,-73.305,122,4.5,PERU,CUSCO
1442,19730303,62823,20223006,-14.9,-71.393,146,4.9,PERU,CUSCO
1444,19730305,223339,20223006,-14.901,-71.39,164,4.9,PERU,CUSCO
1487,19730729,161552,20223006,-14.383,-72.205,92,5.8,PERU,CUSCO
1517,19731031,61307,20223006,-13.892,-71.381,0,4.8,PERU,CUSCO
1541,19740113,172350,20223006,-12.621,-73.063,54,5,PERU,CUSCO
1547,19740201,65531,20223006,-14.541,-72.365,114,4.6,PERU,CUSCO
1578,19740502,223916,20223006,-14.696,-71.717,135,4.8,PERU,CUSCO
1581,19740524,164621,20223006,-11.798,-73.26,87,4.6,PERU,CUSCO
1651,19741008,21449,20223006,-14.72,-71.678,130,4.9,PERU,CUSCO
1739,19750410,52058,20223006,-15.321,-71.058,201,4.8,PERU,CUSCO
1747,19750510,73101,20223006,-12.304,-73.091,0,4.6,PERU,CUSCO
1756,19750605,202940,20223006,-12.919,-73.291,40,5.3,PERU,CUSCO
1821,19760506,130050,20223006,-14.725,-72.232,103,5.1,PERU,CUSCO
2014,19781002,1746,20223006,-13.57,-70.712,61,5.2,PERU,CUSCO
2030,19781223,142945,20223006,-14.863,-71.64,134,5.4,PERU,CUSCO
2059,19790310,100247,20223006,-15.186,-71.15,37,5,PERU,CUSCO
2084,19790613,42539,20223006,-11.779,-72.945,61,4.9,PERU,CUSCO
2123,19791219,64025,20223006,-14.594,-71.616,124,5.5,PERU,CUSCO
2154,19800316,1925,20223006,-11.606,-73.453,28,5.3,PERU,CUSCO
2165,19800418,193339,20223006,-14.927,-71.363,143,5.4,PERU,CUSCO
2171,19800603,191740,20223006,-13.355,-72.487,19,5.3,PERU,CUSCO
2217,19801223,94425,20223006,-11.646,-73.155,41,4.9,PERU,CUSCO
2368,19820802,95913,20223006,-13.47,-70.51,33,4.8,PERU,CUSCO
2370,19820809,45039,20223006,-15.23,-71.04,164,5.2,PERU,CUSCO
2488,19831020,113518,20223006,-12.47,-73,162,4.8,PERU,CUSCO
2671,19850114,125621,20223006,-12.21,-73.05,5,4.5,PERU,CUSCO
2697,19850221,15054,20223006,-15.06,-71.55,128,4.5,PERU,CUSCO
2811,19850923,73028,20223006,-13.74,-71.62,33,4.7,PERU,CUSCO
2942,19860405,201328,20223006,-13.51,-72.03,7,5.6,PERU,CUSCO
2992,19860614,80720,20223006,-13.26,-71.64,51,4.5,PERU,CUSCO
3050,19860925,152457,20223006,-13.4,-71.85,37,4.9,PERU,CUSCO
3059,19861021,171947,20223006,-13.48,-72.21,36,4.9,PERU,CUSCO
3334,19870613,180057,20223006,-13.77,-71.98,66,4.7,PERU,CUSCO
3524,19880114,205534,20223006,-13.48,-71.98,35,4.5,PERU,CUSCO
3628,19881005,121058,20223006,-12.57,-73.79,83,5.3,PERU,CUSCO
3689,19890303,170246,20223006,-11.34,-73.19,66,4.5,PERU,CUSCO
3824,19890531,134850,20223006,-12.3,-72.98,142,4.9,PERU,CUSCO
3860,19890721,24458,20223006,-11.65,-73.25,122,5.2,PERU,CUSCO
3919,19891111,150448,20223006,-14.32,-72.01,108,5.5,PERU,CUSCO
4047,19900211,122916,20223006,-14.63,-72.33,128,4.5,PERU,CUSCO
4072,19900303,101151,20223006,-11.8,-73.46,86,5.3,PERU,CUSCO
4073,19900303,124430,20223006,-11.74,-73.36,58,4.9,PERU,CUSCO
4074,19900304,83313,20223006,-11.73,-73.03,61,4.5,PERU,CUSCO
4079,19900308,94145,20223006,-11.62,-73.12,58,4.8,PERU,CUSCO
4108,19900407,133651,20223006,-13.66,-70.85,44,4.5,PERU,CUSCO
4124,19900420,182325,20223006,-15.27,-71.19,53,5.4,PERU,CUSCO
4129,19900425,144656,20223006,-14.74,-72.14,73,4.8,PERU,CUSCO
4156,19900527,81022,20223006,-11.53,-73.35,7,4.6,PERU,CUSCO
4226,19900611,104325,20223006,-14.54,-71.81,26,4.9,PERU,CUSCO
4240,19900619,105506,20223006,-12.52,-73.51,129,4.9,PERU,CUSCO
4356,19900904,174124,20223006,-12.74,-72.48,150,4.5,PERU,CUSCO
4417,19901106,142715,20223006,-12.87,-73.25,55,4.5,PERU,CUSCO
4451,19901213,112858,20223006,-14.769,-71.35,148,4,PERU,CUSCO
4470,19910105,151631,20223006,-11.91,-73.26,141,5.7,PERU,CUSCO
4490,19910131,71808,20223006,-14.604,-71.882,148,4.5,PERU,CUSCO
4672,19910415,85058,20223006,-12.13,-72.26,52,4.6,PERU,CUSCO
4744,19910706,121946,20223006,-13.42,-72.47,110,7,PERU,CUSCO
4773,19910808,120219,20223006,-11.43,-73.1,71,5.2,PERU,CUSCO
