ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
14,19600730,71515,20223006,-2.5,-77.5,200,5.8,ECUADOR,ECUADOR
37,19610728,10531,20223006,-2.287,-77.035,142,6.6,ECUADOR,ECUADOR
250,19641129,32455,20223006,-4.12,-80.28,100,4.8,ECUADOR,ECUADOR
281,19650406,192150,20223006,-3.146,-78.252,93,5.3,ECUADOR,ECUADOR
306,19650627,170905,20223006,-2.634,-77.018,121,5.3,ECUADOR,ECUADOR
373,19660112,80209,20223006,-2.311,-77.044,156,5,ECUADOR,ECUADOR
647,19671015,211120,20223006,-3.471,-78.187,55,4.9,ECUADOR,ECUADOR
655,19671104,162649,20223006,-2.759,-77.655,95,6,ECUADOR,ECUADOR
695,19680303,161631,20223006,-2.536,-76.931,143,4.8,ECUADOR,ECUADOR
712,19680429,222655,20223006,-2.596,-77.313,117,5.2,ECUADOR,ECUADOR
910,19690528,133008,20223006,-2.231,-76.871,162,5.7,ECUADOR,ECUADOR
1031,19700425,55455,20223006,-3.838,-80.11,73,5.2,ECUADOR,ECUADOR
1193,19701221,105840,20223006,-4.059,-80.351,56,5.1,ECUADOR,ECUADOR
1318,19720127,184507,20223006,-3.948,-79.709,81,5.4,ECUADOR,ECUADOR
1489,19730801,103509,20223006,-2.734,-77.967,70,4,ECUADOR,ECUADOR
1567,19740328,212246,20223006,-3.24,-78.135,35,4.1,ECUADOR,ECUADOR
1712,19741225,192528,20223006,-2.593,-76.795,169,4,ECUADOR,ECUADOR
2033,19781227,93321,20223006,-1.863,-76.279,33,4,ECUADOR,ECUADOR
2089,19790616,180658,20223006,-2.543,-76.848,140,4.5,ECUADOR,ECUADOR
2118,19791113,62204,20223006,-2.378,-76.696,140,5.1,ECUADOR,ECUADOR
2200,19801102,182117,20223006,-4.61,-79.422,94,5.3,ECUADOR,ECUADOR
2291,19810729,224348,20223006,-2.098,-76.137,25,4.8,ECUADOR,ECUADOR
2305,19811007,200348,20223006,-2.478,-77.209,136,4.8,ECUADOR,ECUADOR
