ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
31,19610427,175214,20223006,-13.2,-75.1,83,6.2,PERU,HUANCAVELICA
48,19611011,122835,20223006,-13.3,-75.5,137,5.3,PERU,HUANCAVELICA
133,19631102,160713,20223006,-12.5,-74.7,105,4.8,PERU,HUANCAVELICA
196,19640419,194132,20223006,-13.787,-75.138,86,4.9,PERU,HUANCAVELICA
238,19641006,181907,20223006,-13.1,-75.1,117,4.7,PERU,HUANCAVELICA
244,19641111,184856,20223006,-13.68,-75.34,81,5.3,PERU,HUANCAVELICA
247,19641118,40401,20223006,-13.315,-75.265,94,4.8,PERU,HUANCAVELICA
312,19650713,175802,20223006,-13.2,-75.1,102,4.5,PERU,HUANCAVELICA
327,19650823,811,20223006,-13.1,-75.2,107,4.7,PERU,HUANCAVELICA
385,19660214,163445,20223006,-13.38,-75.521,101,4.9,PERU,HUANCAVELICA
528,19661213,105907,20223006,-12.1,-74.9,21,4.8,PERU,HUANCAVELICA
529,19661214,83950,20223006,-12.7,-74.7,149,4.8,PERU,HUANCAVELICA
606,19670716,210353,20223006,-13.16,-75.27,95,5,PERU,HUANCAVELICA
613,19670730,215850,20223006,-12.069,-74.947,30,4.9,PERU,HUANCAVELICA
616,19670803,124021,20223006,-13.68,-74.892,109,5.5,PERU,HUANCAVELICA
701,19680322,32406,20223006,-13.29,-74.778,101,4.8,PERU,HUANCAVELICA
899,19690415,143519,20223006,-13.17,-74.55,95,4.8,PERU,HUANCAVELICA
1268,19710813,55157,20223006,-13.203,-74.884,102,4.6,PERU,HUANCAVELICA
1352,19720515,64111,20223006,-13.073,-74.647,102,4.7,PERU,HUANCAVELICA
1560,19740314,61020,20223006,-12.731,-74.833,94,4.7,PERU,HUANCAVELICA
1798,19760105,23139,20223006,-13.365,-74.908,104,6.2,PERU,HUANCAVELICA
1809,19760229,180123,20223006,-13.302,-74.988,102,5.5,PERU,HUANCAVELICA
1976,19780420,34149,20223006,-12.968,-75.257,92,5.1,PERU,HUANCAVELICA
2040,19790119,45632,20223006,-13.584,-74.858,108,5.3,PERU,HUANCAVELICA
2148,19800307,43102,20223006,-13.808,-75.363,90,5,PERU,HUANCAVELICA
2186,19800816,192235,20223006,-13.018,-74.383,31,5.4,PERU,HUANCAVELICA
2204,19801110,222115,20223006,-13.14,-74.466,37,5.4,PERU,HUANCAVELICA
2205,19801112,65813,20223006,-13.072,-74.434,49,5.3,PERU,HUANCAVELICA
2213,19801217,84520,20223006,-13.185,-74.512,32,5.5,PERU,HUANCAVELICA
2233,19810216,135933,20223006,-13.162,-74.464,46,5.3,PERU,HUANCAVELICA
2271,19810622,184017,20223006,-13.055,-74.496,29,5.1,PERU,HUANCAVELICA
2272,19810623,22825,20223006,-13.231,-74.637,16,5.2,PERU,HUANCAVELICA
2279,19810704,223959,20223006,-13.106,-74.44,41,5.1,PERU,HUANCAVELICA
2366,19820721,221105,20223006,-13.25,-75.056,97,5.4,PERU,HUANCAVELICA
2471,19830730,94739,20223006,-13.07,-75.17,83,5.4,PERU,HUANCAVELICA
2521,19840114,133408,20223006,-13.17,-74.96,99,5.3,PERU,HUANCAVELICA
2565,19840413,22647,20223006,-12.97,-75.13,114,4.6,PERU,HUANCAVELICA
2574,19840429,181405,20223006,-13.13,-74.88,55,4.8,PERU,HUANCAVELICA
2621,19840729,72858,20223006,-13.16,-74.79,29,4.6,PERU,HUANCAVELICA
2669,19850104,210413,20223006,-13.24,-75.03,90,4.5,PERU,HUANCAVELICA
2736,19850521,150229,20223006,-13.29,-75.36,113,4.8,PERU,HUANCAVELICA
2751,19850625,181214,20223006,-13.94,-74.96,104,4.5,PERU,HUANCAVELICA
2806,19850908,94631,20223006,-12.92,-74.92,114,4.9,PERU,HUANCAVELICA
2830,19851022,60422,20223006,-13.12,-75.56,43,4.5,PERU,HUANCAVELICA
2831,19851023,81608,20223006,-12.34,-74.76,120,4.5,PERU,HUANCAVELICA
