ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
126,19631006,121047,20223006,-9,-75,82,4.6,PERU,HUANUCO
211,19640604,114603,20223006,-9.758,-76.306,121,5.7,PERU,HUANUCO
263,19650112,133651,20223006,-9.747,-74.983,36,5.6,PERU,HUANUCO
329,19650906,162553,20223006,-9.3,-75.9,31,4.9,PERU,HUANUCO
333,19650914,71758,20223006,-9.89,-76.1,142,5.2,PERU,HUANUCO
352,19651124,93056,20223006,-9.5,-74.8,125,4.9,PERU,HUANUCO
386,19660220,152544,20223006,-9.844,-75.56,39,5.2,PERU,HUANUCO
476,19661016,151822,20223006,-9.3,-75.95,140,4.5,PERU,HUANUCO
562,19670402,13531,20223006,-8.86,-76.29,3,5,PERU,HUANUCO
563,19670402,15816,20223006,-9.88,-75.5,33,4.9,PERU,HUANUCO
583,19670601,94409,20223006,-9.86,-75.7,38,4.9,PERU,HUANUCO
659,19671123,224255,20223006,-9.9,-75.58,118,4.7,PERU,HUANUCO
668,19671211,215702,20223006,-9.1,-75.1,33,4.9,PERU,HUANUCO
680,19680104,33926,20223006,-9.58,-75.718,77,4.9,PERU,HUANUCO
696,19680304,215504,20223006,-8.95,-74.65,51,4.9,PERU,HUANUCO
825,19680918,42346,20223006,-9.61,-75.8,100,4.8,PERU,HUANUCO
949,19690822,125945,20223006,-8.614,-77.153,75,4.9,PERU,HUANUCO
1015,19700214,111717,20223006,-9.912,-75.542,27,6,PERU,HUANUCO
1129,19701004,202010,20223006,-9.4,-75.4,110,4.6,PERU,HUANUCO
1137,19701030,91911,20223006,-9.6,-75.648,26,5.2,PERU,HUANUCO
1237,19710416,235942,20223006,-9.896,-75.76,49,5.3,PERU,HUANUCO
1330,19720311,3834,20223006,-9.363,-75.467,30,5.3,PERU,HUANUCO
1481,19730710,233908,20223006,-8.492,-77.107,27,4.9,PERU,HUANUCO
1528,19731121,11357,20223006,-8.71,-74.596,150,5.2,PERU,HUANUCO
1535,19731222,174442,20223006,-9.403,-76.533,0,4.5,PERU,HUANUCO
1563,19740319,100639,20223006,-10.264,-76.265,33,4.8,PERU,HUANUCO
1585,19740529,235151,20223006,-9.76,-75.628,177,5,PERU,HUANUCO
1589,19740607,40419,20223006,-8.796,-75.937,46,5.3,PERU,HUANUCO
1596,19740619,232545,20223006,-8.793,-75.926,30,4.9,PERU,HUANUCO
1800,19760112,61409,20223006,-9.481,-75.166,117,5.1,PERU,HUANUCO
1822,19760507,51051,20223006,-8.717,-74.669,140,5.6,PERU,HUANUCO
1885,19770301,10227,20223006,-8.789,-74.615,141,5,PERU,HUANUCO
1916,19770710,30652,20223006,-9.222,-75.779,31,5.3,PERU,HUANUCO
1917,19770719,4831,20223006,-8.801,-76.997,105,5.1,PERU,HUANUCO
1944,19771113,84224,20223006,-9.39,-75.698,47,5.6,PERU,HUANUCO
1956,19780202,61503,20223006,-8.827,-75.981,43,5,PERU,HUANUCO
2020,19781104,90921,20223006,-8.476,-75.968,133,5.3,PERU,HUANUCO
2100,19790813,82559,20223006,-9.482,-75.55,33,5,PERU,HUANUCO
2116,19791102,151416,20223006,-9.663,-76.127,146,4.7,PERU,HUANUCO
2160,19800402,231435,20223006,-8.676,-74.8,140,5,PERU,HUANUCO
2176,19800616,214733,20223006,-8.766,-74.748,152,5.3,PERU,HUANUCO
2181,19800720,135426,20223006,-9.664,-74.961,119,5.5,PERU,HUANUCO
