ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
1,19600115,93024,20223006,-15,-75,70,7,PERU,ICA
63,19620725,60515,20223006,-14.3,-75.5,100,5.2,PERU,ICA
177,19640220,105743,20223006,-13.759,-75.62,65,4.9,PERU,ICA
188,19640322,175118,20223006,-14.196,-75.661,59,4.8,PERU,ICA
195,19640410,60911,20223006,-14.37,-75.7,68,4.6,PERU,ICA
202,19640504,192541,20223006,-14.3,-75.8,14,4.9,PERU,ICA
267,19650126,165415,20223006,-14.379,-75.757,57,4.7,PERU,ICA
285,19650427,52447,20223006,-13.68,-75.896,78,5.2,PERU,ICA
286,19650428,94212,20223006,-14.205,-76.155,70,4.7,PERU,ICA
288,19650505,91358,20223006,-13.861,-75.861,89,5,PERU,ICA
419,19660602,174946,20223006,-14.4,-76,43,4.7,PERU,ICA
434,19660618,54317,20223006,-15.1,-75.2,97,4.5,PERU,ICA
610,19670724,101358,20223006,-13.406,-76.152,49,4.7,PERU,ICA
622,19670816,23714,20223006,-14.043,-75.351,79,4.7,PERU,ICA
643,19671005,94129,20223006,-14.572,-75.605,63,5.7,PERU,ICA
824,19680917,214959,20223006,-13.721,-75.897,73,4.9,PERU,ICA
844,19681201,21929,20223006,-14.06,-75.97,89,4.9,PERU,ICA
920,19690622,123100,20223006,-14.059,-75.615,73,4.9,PERU,ICA
980,19691014,20002,20223006,-14.39,-75.4,80,4.9,PERU,ICA
1128,19700930,225627,20223006,-15.285,-75.045,63,5.6,PERU,ICA
1272,19710905,90618,20223006,-14.935,-75.35,54,4.8,PERU,ICA
1336,19720321,222741,20223006,-13.963,-76.079,43,4.6,PERU,ICA
1345,19720411,120944,20223006,-13.628,-75.69,82,4.8,PERU,ICA
1389,19720815,24131,20223006,-14.35,-76.069,50,4.8,PERU,ICA
1518,19731031,83232,20223006,-15.02,-75.385,60,4.5,PERU,ICA
1555,19740210,81252,20223006,-14.61,-75.724,35,4.9,PERU,ICA
1708,19741217,134736,20223006,-14.125,-75.806,83,5,PERU,ICA
1753,19750601,24454,20223006,-14.161,-75.61,37,5.1,PERU,ICA
1755,19750605,33247,20223006,-13.666,-76.079,54,5.8,PERU,ICA
1813,19760323,221106,20223006,-14.218,-75.665,58,5.3,PERU,ICA
1930,19770910,43907,20223006,-14.218,-75.973,49,5.3,PERU,ICA
2037,19790106,30604,20223006,-14.464,-75.774,56,5.1,PERU,ICA
2102,19790824,104855,20223006,-14.451,-75.852,49,5.1,PERU,ICA
2105,19790908,11308,20223006,-14.331,-75.829,61,5.1,PERU,ICA
2313,19811028,233413,20223006,-14.086,-75.47,103,4.8,PERU,ICA
2353,19820503,32719,20223006,-13.525,-76.121,66,5.7,PERU,ICA
2476,19830818,201546,20223006,-14.93,-75.08,64,5.5,PERU,ICA
2500,19831210,124604,20223006,-13.47,-76.09,104,4.9,PERU,ICA
2516,19840106,203830,20223006,-14.82,-75.62,36,4.9,PERU,ICA
2519,19840110,10917,20223006,-15.05,-74.81,37,4.9,PERU,ICA
2528,19840131,211108,20223006,-13.98,-76.03,63,4.5,PERU,ICA
2531,19840209,43121,20223006,-13.91,-76.08,49,5.7,PERU,ICA
2540,19840218,4613,20223006,-14.73,-75.27,87,4.5,PERU,ICA
