ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
33,19610617,105630,20223006,-12,-75.3,29,5.5,PERU,JUNIN
80,19630122,83235,20223006,-11.6,-75,47,4.9,PERU,JUNIN
165,19640112,142153,20223006,-11.71,-74.72,152,4.7,PERU,JUNIN
206,19640518,41505,20223006,-12.15,-73.53,81,4.8,PERU,JUNIN
219,19640702,90937,20223006,-11.5,-74.36,7,5,PERU,JUNIN
237,19641003,124932,20223006,-10.749,-75.057,151,4.9,PERU,JUNIN
301,19650618,224518,20223006,-11.217,-73.661,111,5.6,PERU,JUNIN
330,19650908,41034,20223006,-11.1,-73.8,99,4.8,PERU,JUNIN
331,19650911,181754,20223006,-11.4,-75.3,33,4.6,PERU,JUNIN
340,19651004,212512,20223006,-10.9,-75,33,4.7,PERU,JUNIN
350,19651121,42923,20223006,-11.3,-73.5,80,4.7,PERU,JUNIN
372,19660109,201654,20223006,-10.85,-75.71,33,4.9,PERU,JUNIN
375,19660117,65705,20223006,-11.6,-75.93,104,4.8,PERU,JUNIN
446,19660726,215334,20223006,-11.49,-75.16,119,4.9,PERU,JUNIN
458,19660827,5936,20223006,-11.025,-76.236,65,4.8,PERU,JUNIN
516,19661113,11900,20223006,-11.074,-74.799,43,5,PERU,JUNIN
523,19661125,190123,20223006,-11.3,-73.7,33,5.2,PERU,JUNIN
554,19670319,214244,20223006,-11.03,-74.86,155,4.8,PERU,JUNIN
597,19670626,105757,20223006,-11,-74.9,31,4.7,PERU,JUNIN
598,19670626,130107,20223006,-10.9,-74.9,26,4.8,PERU,JUNIN
656,19671106,221242,20223006,-11.267,-75.463,155,4.5,PERU,JUNIN
662,19671129,25948,20223006,-11.1,-74.3,33,4.9,PERU,JUNIN
679,19680101,81617,20223006,-11.276,-75.871,124,4.9,PERU,JUNIN
785,19680627,121653,20223006,-11.415,-74.64,5,4.9,PERU,JUNIN
826,19680921,144431,20223006,-11.888,-75.087,41,5.3,PERU,JUNIN
840,19681125,21305,20223006,-10.98,-76.23,161,5.1,PERU,JUNIN
847,19681204,114402,20223006,-10.92,-74.726,13,5.2,PERU,JUNIN
933,19690724,25923,20223006,-11.875,-75.104,7,6.1,PERU,JUNIN
934,19690724,43239,20223006,-11.916,-75.136,27,5,PERU,JUNIN
935,19690724,63310,20223006,-11.922,-75.11,6,5.1,PERU,JUNIN
936,19690724,80045,20223006,-11.931,-75.122,42,4.9,PERU,JUNIN
938,19690801,22242,20223006,-11.984,-75.229,0,5.1,PERU,JUNIN
939,19690801,55835,20223006,-11.745,-75.106,33,4.7,PERU,JUNIN
940,19690801,190218,20223006,-11.889,-75.251,39,5.3,PERU,JUNIN
945,19690811,161515,20223006,-11.8,-74.7,70,4.7,PERU,JUNIN
961,19690928,115258,20223006,-11.952,-74.246,16,5.2,PERU,JUNIN
962,19691001,50547,20223006,-11.873,-75.217,15,6.3,PERU,JUNIN
963,19691001,52605,20223006,-11.767,-74.984,47,5.3,PERU,JUNIN
964,19691001,55817,20223006,-11.713,-74.99,23,5.8,PERU,JUNIN
965,19691001,62809,20223006,-11.819,-75.216,48,5.4,PERU,JUNIN
966,19691001,82817,20223006,-11.818,-75.077,11,5.9,PERU,JUNIN
967,19691001,170448,20223006,-11.752,-75.205,15,5.3,PERU,JUNIN
968,19691001,225632,20223006,-11.934,-74.997,53,5.6,PERU,JUNIN
969,19691002,3059,20223006,-12.013,-75.148,5,4.8,PERU,JUNIN
970,19691004,2634,20223006,-11.965,-75.18,20,5.1,PERU,JUNIN
