ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
76,19621224,174305,20223006,-8.4,-78.7,80,5.1,PERU,LA LIBERTAD
867,19690125,181350,20223006,-8.318,-78.879,77,4.8,PERU,LA LIBERTAD
942,19690802,135000,20223006,-8.329,-76.97,16,5,PERU,LA LIBERTAD
1267,19710812,141433,20223006,-8.522,-78.55,96,5.2,PERU,LA LIBERTAD
1513,19731023,142053,20223006,-8.459,-78.319,25,5.2,PERU,LA LIBERTAD
1553,19740208,62213,20223006,-8.432,-77.328,78,5,PERU,LA LIBERTAD
1906,19770509,175743,20223006,-8.423,-77.417,45,5.2,PERU,LA LIBERTAD
2515,19840105,141746,20223006,-8.47,-77.37,98,4.9,PERU,LA LIBERTAD
2656,19841115,23507,20223006,-8.34,-78.55,41,5.2,PERU,LA LIBERTAD
3093,19861130,31857,20223006,-7.68,-78.94,7,5.1,PERU,LA LIBERTAD
3446,19871002,221348,20223006,-8.46,-78.79,62,5.5,PERU,LA LIBERTAD
3447,19871002,222800,20223006,-8.53,-78.71,65,5.7,PERU,LA LIBERTAD
3453,19871004,85456,20223006,-8.07,-78.8,38,4.7,PERU,LA LIBERTAD
3470,19871024,191137,20223006,-7.63,-79.2,50,4.8,PERU,LA LIBERTAD
3903,19891018,154321,20223006,-8.16,-78.21,29,4.8,PERU,LA LIBERTAD
4241,19900620,192331,20223006,-8.29,-77.28,118,4.8,PERU,LA LIBERTAD
4424,19901114,203715,20223006,-7.87,-78.86,30,4.7,PERU,LA LIBERTAD
4568,19910326,194012,20223006,-8.43,-77.42,27,4.5,PERU,LA LIBERTAD
4634,19910407,93115,20223006,-7.81,-77.69,29,4.5,PERU,LA LIBERTAD
4749,19910712,54226,20223006,-8.58,-78.32,46,4.5,PERU,LA LIBERTAD
4787,19910825,630,20223006,-8.02,-78.97,28,4.9,PERU,LA LIBERTAD
4839,19911114,93916,20223006,-8.42,-78.48,109,5.1,PERU,LA LIBERTAD
4916,19920210,232659,20223006,-7.98,-78.99,10,4.7,PERU,LA LIBERTAD
4987,19920515,214817,20223006,-8.1,-77.56,84,4.5,PERU,LA LIBERTAD
5006,19920526,93345,20223006,-7.4,-79.41,39,4.5,PERU,LA LIBERTAD
5147,19921204,202946,20223006,-7.6,-79.05,64,4.5,PERU,LA LIBERTAD
5288,19930424,180534,20223006,-8.06,-79,35,4.9,PERU,LA LIBERTAD
5324,19930521,173000,20223006,-8.01,-77.71,55,4.6,PERU,LA LIBERTAD
5348,19930623,64956,20223006,-7.87,-78.17,36,4.8,PERU,LA LIBERTAD
5384,19930908,163908,20223006,-8.4,-78.29,55,4.9,PERU,LA LIBERTAD
5428,19931020,85922,20223006,-8.04,-78.12,12,4.8,PERU,LA LIBERTAD
5478,19940106,94629,20223006,-8.57,-78.3,15,4.5,PERU,LA LIBERTAD
5576,19940404,132421,20223006,-7.4,-79.2,46,4.5,PERU,LA LIBERTAD
