ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
2678,19850130,22512,20223006,-6.58,-80.15,34,5.3,PERU,LAMBAYEQUE
3955,19891220,42457,20223006,-6.37,-79.46,111,4.7,PERU,LAMBAYEQUE
4031,19900206,22152,20223006,-6.1,-79.54,75,4.7,PERU,LAMBAYEQUE
4538,19910301,173401,20223006,-6.99,-79.67,50,5.3,PERU,LAMBAYEQUE
4768,19910804,40920,20223006,-6.08,-79.93,74,4.8,PERU,LAMBAYEQUE
4830,19911028,185528,20223006,-6.68,-79.64,62,5,PERU,LAMBAYEQUE
4891,19920115,32343,20223006,-6.45,-80.16,65,4.5,PERU,LAMBAYEQUE
5052,19920724,144756,20223006,-6.72,-79.16,42,4.5,PERU,LAMBAYEQUE
5060,19920806,41526,20223006,-6.32,-79.73,64,5,PERU,LAMBAYEQUE
5113,19921022,124415,20223006,-5.72,-79.82,58,4.5,PERU,LAMBAYEQUE
5123,19921030,162715,20223006,-6.86,-79.82,26,4.5,PERU,LAMBAYEQUE
5166,19921215,82643,20223006,-6.22,-79.71,63,4.5,PERU,LAMBAYEQUE
5321,19930520,120700,20223006,-7.07,-79.62,40,4.6,PERU,LAMBAYEQUE
5383,19930908,141014,20223006,-6.08,-80.13,101,4.9,PERU,LAMBAYEQUE
5452,19931208,25252,20223006,-6.11,-79.26,58,5.3,PERU,LAMBAYEQUE
6124,19950716,45849,20223006,-5.95,-79.75,33,4.8,PERU,LAMBAYEQUE
6232,19950913,220054,20223006,-6.66,-79.81,17,4.9,PERU,LAMBAYEQUE
6247,19950922,230507,20223006,-6.42,-79.56,43,4.7,PERU,LAMBAYEQUE
6505,19960109,201659,20223006,-6.0092,-79.8427,72,4.7,PERU,LAMBAYEQUE
6685,19960510,121021,20223006,-6.2671,-80.4337,80,4.5,PERU,LAMBAYEQUE
6705,19960601,201935,20223006,-7.0217,-79.574,75,4.5,PERU,LAMBAYEQUE
6758,19960719,142455,20223006,-6.3689,-80.0385,67,4.7,PERU,LAMBAYEQUE
6765,19960722,185921,20223006,-6.139,-79.7357,72,4.5,PERU,LAMBAYEQUE
6791,19960808,145618,20223006,-6.3077,-80.0713,57,5.7,PERU,LAMBAYEQUE
6792,19960808,201932,20223006,-6.0918,-79.8729,65,5.8,PERU,LAMBAYEQUE
6810,19960815,15713,20223006,-6.5556,-79.6922,67,5,PERU,LAMBAYEQUE
6839,19960829,104331,20223006,-6.0294,-79.8227,68,5.4,PERU,LAMBAYEQUE
7451,19970731,51123,20223006,-6.0709,-80.2805,52,4.5,PERU,LAMBAYEQUE
7529,19970924,233311,20223006,-6.3484,-80.4627,53,4.5,PERU,LAMBAYEQUE
7605,19971114,111926,20223006,-6.0584,-79.7263,63,4.5,PERU,LAMBAYEQUE
7761,19980303,71436,20223006,-6.2845,-79.7728,67,4.5,PERU,LAMBAYEQUE
7834,19980403,75911,20223006,-6.0411,-79.9414,69,4.6,PERU,LAMBAYEQUE
7969,19980703,135914,20223006,-7.006,-79.7869,52,4.5,PERU,LAMBAYEQUE
7978,19980708,134600,20223006,-5.9404,-79.9317,65,4.5,PERU,LAMBAYEQUE
8048,19980909,170935,20223006,-6.1517,-79.7259,65,4.5,PERU,LAMBAYEQUE
8410,19990714,201021,20223006,-6.2473,-79.8818,69,5,PERU,LAMBAYEQUE
8672,20000327,95422,20223006,-5.6383,-79.8709,85,5.1,PERU,LAMBAYEQUE
8735,20000507,130451,20223006,-5.985,-79.4308,41,4.5,PERU,LAMBAYEQUE
8739,20000508,181210,20223006,-6.4022,-80.3508,51,4.9,PERU,LAMBAYEQUE
8789,20000610,140917,20223006,-6.2471,-79.9372,76,5,PERU,LAMBAYEQUE
9098,20010115,50513,20223006,-6.5503,-79.4553,86,4.5,PERU,LAMBAYEQUE
9741,20010908,122149,20223006,-5.7429,-79.7968,78,4.6,PERU,LAMBAYEQUE
9845,20011116,82410,20223006,-5.9507,-79.9269,62,4.8,PERU,LAMBAYEQUE
9953,20020131,50231,20223006,-5.7357,-79.7364,106,4.7,PERU,LAMBAYEQUE
10184,20021027,121546,20223006,-6.3848,-80.4254,28,4.8,PERU,LAMBAYEQUE
10210,20021114,194340,20223006,-7.0092,-79.6007,28,4.6,PERU,LAMBAYEQUE
10405,20030613,103259,20223006,-6.4297,-79.7421,89,5,PERU,LAMBAYEQUE
10697,20040228,182539,20223006,-6.3466,-79.7726,52,4.5,PERU,LAMBAYEQUE
10698,20040229,41512,20223006,-6.0273,-79.8738,25,4.5,PERU,LAMBAYEQUE
10950,20041129,3313,20223006,-5.808,-79.951,56,4.5,PERU,LAMBAYEQUE
11017,20050130,65147,20223006,-6.5357,-80.2563,81,4.9,PERU,LAMBAYEQUE
11030,20050212,134851,20223006,-5.9801,-79.4901,98,4.5,PERU,LAMBAYEQUE
11175,20050602,52417,20223006,-6.814,-79.7774,56,4.5,PERU,LAMBAYEQUE
11348,20051003,151322,20223006,-6.0134,-80.3407,67,4.5,PERU,LAMBAYEQUE
11366,20051010,233220,20223006,-6.1807,-79.8292,68,4.5,PERU,LAMBAYEQUE
11528,20051201,230339,20223006,-6.3147,-79.7214,65,4.9,PERU,LAMBAYEQUE
11609,20051219,141745,20223006,-6.019,-79.7619,77,4.5,PERU,LAMBAYEQUE
11666,20051230,233149,20223006,-6.3453,-79.8519,62,4.6,PERU,LAMBAYEQUE
11853,20060828,173548,20223006,-6.1464,-79.957,69,4.5,PERU,LAMBAYEQUE
11865,20060913,154900,20223006,-6.426,-80.084,100,4.2,PERU,LAMBAYEQUE
11932,20061123,34954,20223006,-6.3398,-79.4567,91,4.5,PERU,LAMBAYEQUE
11967,20070120,73631,20223006,-6.202,-79.4863,94,4.5,PERU,LAMBAYEQUE
12144,20070721,135341,20223006,-6.9119,-79.4872,73,4.5,PERU,LAMBAYEQUE
12147,20070726,41215,20223006,-6.1623,-80.1316,48,4.9,PERU,LAMBAYEQUE
12551,20080112,34813,20223006,-6.9961,-79.5551,71,5.2,PERU,LAMBAYEQUE
12611,20080316,123755,20223006,-6.2078,-79.9232,71,5,PERU,LAMBAYEQUE
12617,20080322,220503,20223006,-6.8358,-79.8773,53,4.5,PERU,LAMBAYEQUE
12970,20090707,182730,20223006,-5.7877,-79.9864,76,4.5,PERU,LAMBAYEQUE
13175,20100327,123817,20223006,-6.4792,-80.3011,34,4.5,PERU,LAMBAYEQUE
13358,20100817,32255,20223006,-5.6959,-79.9184,64,5.5,PERU,LAMBAYEQUE
13398,20100910,22144,20223006,-6.93,-79.4024,85,4.7,PERU,LAMBAYEQUE
14835,20120324,65207,20223006,-6.3225,-80.2024,51,4.9,PERU,LAMBAYEQUE
15152,20120907,122604,20223006,-6.192,-80.0519,53,4.9,PERU,LAMBAYEQUE
15968,20130812,22755,20223006,-6.3219,-80.1476,58,4.9,PERU,LAMBAYEQUE
16242,20131119,143053,20223006,-5.9901,-80.2034,53,4.9,PERU,LAMBAYEQUE
16482,20140208,13549,20223006,-6.5587,-79.5914,79,4.6,PERU,LAMBAYEQUE
16909,20140624,203102,20223006,-6.1307,-79.2984,103,4.7,PERU,LAMBAYEQUE
17052,20140813,94019,20223006,-6.0049,-79.7768,71,4.5,PERU,LAMBAYEQUE
17745,20150430,144835,20223006,-5.9293,-80.2817,47,4.6,PERU,LAMBAYEQUE
18247,20160105,35334,20223006,-6.4643,-79.9416,64,4.5,PERU,LAMBAYEQUE
18262,20160110,4645,20223006,-6.6543,-79.9476,54,4.7,PERU,LAMBAYEQUE
18690,20160611,140504,20223006,-6.0586,-80.139,56,4.7,PERU,LAMBAYEQUE
18864,20160904,233928,20223006,-6.136,-79.801,78,4.5,PERU,LAMBAYEQUE
18944,20161005,165712,20223006,-6.1011,-80.2793,50,4.7,PERU,LAMBAYEQUE
20607,20190307,40503,20223006,-6.4595,-79.6308,18,5.2,PERU,LAMBAYEQUE
21527,20200711,4426,20223006,-6.0366,-80.0708,68,4,PERU,LAMBAYEQUE
22649,20211205,85954,20223006,-6.4785,-79.9664,60,4.1,PERU,LAMBAYEQUE
