ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
124,19630920,40036,20223006,-11.3,-77.6,33,4.9,PERU,LIMA
506,19661029,44538,20223006,-10.978,-77.415,26,4.8,PERU,LIMA
521,19661120,15248,20223006,-11.956,-76.195,90,4.7,PERU,LIMA
661,19671126,73603,20223006,-12.566,-76.612,72,4.9,PERU,LIMA
689,19680203,110750,20223006,-12.597,-76.592,68,5.3,PERU,LIMA
690,19680203,114307,20223006,-12.714,-76.592,67,5.3,PERU,LIMA
699,19680312,123552,20223006,-11.39,-76.81,31,4.9,PERU,LIMA
816,19680829,40210,20223006,-11.05,-76.6,111,4.8,PERU,LIMA
827,19680928,135337,20223006,-13.171,-76.361,68,6.2,PERU,LIMA
896,19690403,34718,20223006,-11.4,-76.6,33,5.2,PERU,LIMA
1316,19720122,52557,20223006,-13.176,-76.177,91,4.8,PERU,LIMA
1340,19720403,12950,20223006,-11.643,-76.596,96,5.3,PERU,LIMA
1463,19730425,165113,20223006,-10.897,-76.669,117,5,PERU,LIMA
1539,19740105,83351,20223006,-12.385,-76.285,92,6.6,PERU,LIMA
1628,19741003,152819,20223006,-12.797,-76.37,25,5,PERU,LIMA
1640,19741005,33449,20223006,-12.535,-76.595,44,4.7,PERU,LIMA
1652,19741008,52542,20223006,-12.495,-76.734,53,4.7,PERU,LIMA
1653,19741008,114415,20223006,-12.486,-76.741,54,4.6,PERU,LIMA
1655,19741008,180534,20223006,-12.486,-76.749,58,4.6,PERU,LIMA
1658,19741009,103811,20223006,-12.472,-76.615,56,4.5,PERU,LIMA
1659,19741009,152230,20223006,-12.49,-76.667,57,4.5,PERU,LIMA
1662,19741010,63703,20223006,-12.462,-76.705,55,4.6,PERU,LIMA
1673,19741013,75254,20223006,-12.474,-76.718,84,4.7,PERU,LIMA
1674,19741013,75340,20223006,-12.393,-76.493,43,4.7,PERU,LIMA
1675,19741013,80137,20223006,-12.472,-76.638,61,4.5,PERU,LIMA
1801,19760118,232858,20223006,-11.701,-76.675,113,5.2,PERU,LIMA
1845,19760724,54912,20223006,-11.923,-76.788,123,5.2,PERU,LIMA
2005,19780729,123400,20223006,-11.585,-76.477,94,5.3,PERU,LIMA
2087,19790615,85339,20223006,-12.243,-76.76,74,5.7,PERU,LIMA
