ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
4,19600130,50724,20223006,-5.5,-77.5,100,5.7,PERU,LORETO
17,19600924,135833,20223006,-3,-75.9,146,6.4,PERU,LORETO
77,19630116,202051,20223006,-3.9,-76.8,102,6,PERU,LORETO
105,19630630,110949,20223006,-7.3,-75.2,43,4.8,PERU,LORETO
132,19631031,231915,20223006,-4.9,-77.7,60,4.9,PERU,LORETO
146,19631115,1852,20223006,-4.7,-76.8,152,4.8,PERU,LORETO
155,19631218,14213,20223006,-7.4,-76,33,4.5,PERU,LORETO
162,19640103,132751,20223006,-5.3,-76,106,4.7,PERU,LORETO
166,19640117,132722,20223006,-3.44,-77.5,33,4.6,PERU,LORETO
169,19640201,114737,20223006,-3.226,-77.77,87,5.4,PERU,LORETO
172,19640215,44606,20223006,-7.68,-76,33,4.6,PERU,LORETO
173,19640216,100338,20223006,-7.65,-75.67,35,4.9,PERU,LORETO
185,19640314,21402,20223006,-7.8,-75.4,33,4.7,PERU,LORETO
187,19640322,70537,20223006,-5.642,-77.02,116,5.5,PERU,LORETO
190,19640326,52506,20223006,-5.137,-76.55,120,5.2,PERU,LORETO
229,19640819,140038,20223006,-6.92,-75.26,15,4.9,PERU,LORETO
243,19641102,65101,20223006,-4.011,-76.742,105,6,PERU,LORETO
248,19641121,172425,20223006,-4.87,-76.7,109,4.9,PERU,LORETO
258,19650107,115730,20223006,-3.1,-76.7,30,4.9,PERU,LORETO
271,19650219,230150,20223006,-7.52,-74.68,138,4.9,PERU,LORETO
283,19650415,20010,20223006,-5.72,-75.6,33,4.9,PERU,LORETO
290,19650509,195901,20223006,-2.796,-77.233,112,5.2,PERU,LORETO
313,19650713,223449,20223006,-3.2,-77.7,90,4.9,PERU,LORETO
337,19650920,181041,20223006,-6.43,-74.93,138,5.3,PERU,LORETO
342,19651008,222850,20223006,-8.263,-75.895,140,5.3,PERU,LORETO
343,19651010,193500,20223006,-7.7,-74.6,140,4.8,PERU,LORETO
344,19651011,704,20223006,-3.6,-77.35,146,4.5,PERU,LORETO
353,19651126,2549,20223006,-4.7,-77.14,123,4.9,PERU,LORETO
367,19651228,220454,20223006,-3.191,-77.159,19,5.7,PERU,LORETO
368,19651229,40829,20223006,-3.24,-77.158,51,5,PERU,LORETO
