ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
39,19610819,50949,20223006,-10.8,-71,649,7,PERU,MADRE DE DIOS
40,19610820,91011,20223006,-11.5,-70.6,630,6.1,PERU,MADRE DE DIOS
44,19610831,14839,20223006,-10.4,-70.7,605,7.1,PERU,MADRE DE DIOS
45,19610831,15708,20223006,-10.5,-70.7,629,7.5,PERU,MADRE DE DIOS
47,19610912,111825,20223006,-11.1,-70.6,543,5.6,PERU,MADRE DE DIOS
339,19650926,54756,20223006,-13,-70.3,37,4.8,PERU,MADRE DE DIOS
448,19660729,82601,20223006,-12.59,-71.17,11,4.8,PERU,MADRE DE DIOS
498,19661020,222247,20223006,-12.06,-71.5,34,4.9,PERU,MADRE DE DIOS
1952,19780121,132937,20223006,-12.857,-71.3,15,5.5,PERU,MADRE DE DIOS
2220,19801229,11926,20223006,-12.702,-71.486,87,5.2,PERU,MADRE DE DIOS
2645,19840919,233750,20223006,-10.912,-70.833,612,4.5,PERU,MADRE DE DIOS
4519,19910216,171651,20223006,-12.44,-71.56,148,4.6,PERU,MADRE DE DIOS
5007,19920527,211940,20223006,-12.571,-70.843,33,4.2,PERU,MADRE DE DIOS
5033,19920624,11825,20223006,-12.31,-71.72,50,4.5,PERU,MADRE DE DIOS
5073,19920902,223729,20223006,-12.434,-70.996,28,5.2,PERU,MADRE DE DIOS
5794,19941011,14014,20223006,-13.22,-69.73,62,4.7,PERU,MADRE DE DIOS
5955,19950309,24222,20223006,-11.26,-71.82,90,4.9,PERU,MADRE DE DIOS
5969,19950325,11240,20223006,-12.69,-70.62,61,5.3,PERU,MADRE DE DIOS
6432,19951123,181605,20223006,-11,-72,155,4.8,PERU,MADRE DE DIOS
6622,19960310,85623,20223006,-12.8071,-69.3774,61,6,PERU,MADRE DE DIOS
7660,19980110,62128,20223006,-11.9386,-71.4101,156,4.9,PERU,MADRE DE DIOS
7662,19980110,112854,20223006,-11.844,-72.176,33,4.2,PERU,MADRE DE DIOS
7667,19980111,144918,20223006,-11.708,-72.166,33,4.4,PERU,MADRE DE DIOS
7684,19980122,170637,20223006,-12.0761,-71.813,158,4.8,PERU,MADRE DE DIOS
8366,19990531,121513,20223006,-11.1657,-71.996,151,4.5,PERU,MADRE DE DIOS
8591,20000119,85637,20223006,-11.4412,-72.2469,62,4.8,PERU,MADRE DE DIOS
8813,20000707,113340,20223006,-11.4792,-71.9708,111,4.5,PERU,MADRE DE DIOS
9059,20001208,211128,20223006,-11.322,-70.7902,151,5.1,PERU,MADRE DE DIOS
9529,20010704,143150,20223006,-13.0309,-70.7586,163,4.6,PERU,MADRE DE DIOS
10021,20020402,12838,20223006,-12.102,-71.773,160,5,PERU,MADRE DE DIOS
10164,20021002,54954,20223006,-12.4894,-69.9692,174,5,PERU,MADRE DE DIOS
10537,20031004,62604,20223006,-13.008,-70.542,57,4.6,PERU,MADRE DE DIOS
10817,20040709,140735,20223006,-12.8663,-68.8711,157,4.6,PERU,MADRE DE DIOS
10966,20041214,80740,20223006,-12.804,-71.05,14,4.7,PERU,MADRE DE DIOS
11194,20050618,204732,20223006,-11.195,-71.441,189,4.3,PERU,MADRE DE DIOS
11749,20060422,163239,20223006,-11.9257,-71.8214,77,4.9,PERU,MADRE DE DIOS
12429,20071001,231058,20223006,-13.054,-70.429,45,4.4,PERU,MADRE DE DIOS
12619,20080324,24752,20223006,-13.058,-70.642,35,4,PERU,MADRE DE DIOS
12961,20090630,160119,20223006,-12.303,-71.9753,37,5.3,PERU,MADRE DE DIOS
13289,20100626,172643,20223006,-12.1167,-70.9107,54,4.6,PERU,MADRE DE DIOS
13900,20110425,43057,20223006,-12.047,-72.0941,149,5.2,PERU,MADRE DE DIOS
15450,20130118,195142,20223006,-12.959,-71.253,47,4.5,PERU,MADRE DE DIOS
15583,20130314,85504,20223006,-11.894,-72.03,27,4.5,PERU,MADRE DE DIOS
