ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
7,19600309,235425,20223006,-16.389,-73.817,80,6.2,OCEANO,MAR
9,19600504,12852,20223006,-18,-71.5,100,5,OCEANO,MAR
13,19600719,41914,20223006,-7,-80,33,5.3,OCEANO,MAR
15,19600913,215534,20223006,-15,-75.51,67,5.7,OCEANO,MAR
16,19600914,803,20223006,-15.2,-76.2,91,5.4,OCEANO,MAR
21,19601120,220156,20223006,-5.6,-80.9,60,6.8,OCEANO,MAR
27,19610128,32446,20223006,-13.6,-76.3,86,6,OCEANO,MAR
29,19610317,100628,20223006,-11.1,-78.8,60,5,OCEANO,MAR
35,19610703,144930,20223006,-8.7,-79.1,57,5.8,OCEANO,MAR
38,19610817,174943,20223006,-17.4,-72.7,46,5.6,OCEANO,MAR
46,19610906,153020,20223006,-10.9,-79.1,45,4.8,OCEANO,MAR
53,19611209,35855,20223006,-14.9,-75.7,39,5.3,OCEANO,MAR
54,19611224,142531,20223006,-5.7,-80.9,33,6.1,OCEANO,MAR
59,19620319,210416,20223006,-16.8,-73.5,33,5.1,OCEANO,MAR
61,19620418,191437,20223006,-10,-79,39,6.7,OCEANO,MAR
62,19620715,144350,20223006,-9.3,-78.9,80,5.9,OCEANO,MAR
64,19620725,65556,20223006,-16.3,-75,33,5.3,OCEANO,MAR
68,19620920,92526,20223006,-15.5,-76.1,33,5.2,OCEANO,MAR
70,19620928,221452,20223006,-13.8,-76.7,61,4.8,OCEANO,MAR
73,19621108,210,20223006,-15.1,-75.4,44,5.3,OCEANO,MAR
74,19621115,232515,20223006,-8.7,-79.8,45,6.2,OCEANO,MAR
75,19621123,3004,20223006,-15.262,-75.512,20,5.9,OCEANO,MAR
78,19630117,42219,20223006,-10.7,-79,21,4.9,OCEANO,MAR
82,19630216,213222,20223006,-8.5,-80.1,33,5.2,OCEANO,MAR
85,19630304,154302,20223006,-4.5,-81.6,23,5.6,OCEANO,MAR
