ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
221,19640705,221459,20223006,-10.24,-75.11,135,5.3,PERU,PASCO
246,19641118,1202,20223006,-10.5,-75.7,94,4.8,PERU,PASCO
295,19650529,42516,20223006,-10.1,-74.4,33,4.6,PERU,PASCO
341,19651006,24023,20223006,-9.8,-74.9,122,4.9,PERU,PASCO
379,19660122,140541,20223006,-10.34,-74.7,95,4.7,PERU,PASCO
552,19670218,185949,20223006,-10.47,-75.03,33,5,PERU,PASCO
578,19670515,170859,20223006,-10.325,-74.6,118,5.4,PERU,PASCO
674,19671223,24010,20223006,-9.861,-74.659,129,5.4,PERU,PASCO
828,19681013,213426,20223006,-10.014,-74.729,31,5.2,PERU,PASCO
845,19681201,131458,20223006,-10.603,-74.809,43,5.8,PERU,PASCO
898,19690410,93100,20223006,-10.1,-74.97,98,4.7,PERU,PASCO
988,19691113,70623,20223006,-10.12,-75.36,152,4.6,PERU,PASCO
992,19691209,121005,20223006,-10.213,-75.649,38,5.2,PERU,PASCO
993,19691210,65314,20223006,-10.25,-75.57,35,4.9,PERU,PASCO
1110,19700716,235703,20223006,-10.987,-76.392,121,5.3,PERU,PASCO
1135,19701023,154937,20223006,-10.352,-75.256,60,5.2,PERU,PASCO
1215,19710121,35723,20223006,-10.595,-75.692,82,4.9,PERU,PASCO
1252,19710610,64740,20223006,-10.894,-76.082,126,5.8,PERU,PASCO
1363,19720608,133432,20223006,-10.297,-75.513,34,5.3,PERU,PASCO
1371,19720701,91709,20223006,-10.626,-74.999,172,4.9,PERU,PASCO
1378,19720715,160703,20223006,-10.427,-74.288,133,4.6,PERU,PASCO
1383,19720718,162441,20223006,-10.429,-74.446,127,4.5,PERU,PASCO
1399,19720923,233535,20223006,-10.363,-75.553,105,4.5,PERU,PASCO
1420,19721202,162133,20223006,-10.298,-74.299,0,5.1,PERU,PASCO
1441,19730301,200444,20223006,-9.928,-74.921,0,5,PERU,PASCO
1479,19730702,60536,20223006,-10.534,-75.031,0,4.5,PERU,PASCO
1552,19740206,93141,20223006,-10.725,-74.831,0,4.5,PERU,PASCO
1582,19740525,3115,20223006,-10.103,-75.601,21,4.9,PERU,PASCO
1597,19740620,33023,20223006,-10.652,-74.93,157,4.6,PERU,PASCO
1599,19740629,61339,20223006,-10.189,-75.574,37,4.9,PERU,PASCO
1733,19750318,11055,20223006,-10.106,-75.269,36,5.8,PERU,PASCO
1778,19750906,104636,20223006,-10.592,-74.893,150,5.1,PERU,PASCO
1780,19750930,35100,20223006,-9.604,-74.6,131,6,PERU,PASCO
1815,19760331,222354,20223006,-10.473,-75.424,33,5.2,PERU,PASCO
1908,19770510,124534,20223006,-10.565,-75.385,63,5.3,PERU,PASCO
1938,19771008,30352,20223006,-9.644,-74.658,128,5.8,PERU,PASCO
1942,19771102,144759,20223006,-10.046,-74.747,47,5.8,PERU,PASCO
1958,19780211,81519,20223006,-9.837,-75.068,65,5.4,PERU,PASCO
1961,19780306,72559,20223006,-10.319,-75.542,26,5.2,PERU,PASCO
1975,19780417,103704,20223006,-10.395,-74.992,161,5.3,PERU,PASCO
1984,19780515,219,20223006,-10.357,-75.383,30,4.9,PERU,PASCO
2028,19781219,25407,20223006,-10.311,-75.207,130,5.1,PERU,PASCO
2078,19790531,150548,20223006,-10.027,-74.85,138,5.3,PERU,PASCO
2082,19790607,35323,20223006,-9.965,-75.269,115,5,PERU,PASCO
2162,19800409,100020,20223006,-9.878,-75.093,122,5.2,PERU,PASCO
2183,19800728,85603,20223006,-10.399,-74.916,37,5.3,PERU,PASCO
2224,19810121,191259,20223006,-10.587,-74.155,124,5.5,PERU,PASCO
2227,19810125,172223,20223006,-10.239,-75.537,129,5.5,PERU,PASCO
2228,19810128,43754,20223006,-10.249,-75.598,12,5.1,PERU,PASCO
2234,19810218,41141,20223006,-10.463,-74.885,57,5,PERU,PASCO
2238,19810317,74411,20223006,-9.912,-74.978,135,5.3,PERU,PASCO
2242,19810402,75944,20223006,-10.218,-74.863,61,5.3,PERU,PASCO
2255,19810502,23533,20223006,-10.392,-74.435,144,4.9,PERU,PASCO
2301,19810915,150812,20223006,-10.601,-74.58,33,5.1,PERU,PASCO
2392,19821119,42714,20223006,-10.6,-74.7,14,6.6,PERU,PASCO
2393,19821119,50749,20223006,-10.41,-74.9,33,5.1,PERU,PASCO
2395,19821119,123418,20223006,-10.73,-74.78,33,5.4,PERU,PASCO
2396,19821119,140403,20223006,-10.36,-74.92,33,4.9,PERU,PASCO
2397,19821120,144338,20223006,-10.67,-74.53,33,4.7,PERU,PASCO
2399,19821123,81921,20223006,-10.43,-74.93,36,5.3,PERU,PASCO
2400,19821127,150255,20223006,-10.74,-74.45,33,4.9,PERU,PASCO
2404,19821202,84106,20223006,-10.84,-74.57,54,5.3,PERU,PASCO
2406,19821211,44400,20223006,-10.5,-74.89,33,5.2,PERU,PASCO
2409,19821218,52414,20223006,-10.74,-74.77,33,5,PERU,PASCO
2417,19830112,30655,20223006,-10.77,-74.63,33,5.3,PERU,PASCO
2437,19830320,15637,20223006,-10.5,-74.87,9,5.7,PERU,PASCO
2444,19830413,1453,20223006,-10.71,-75.27,33,5.1,PERU,PASCO
