ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
51,19611123,111728,20223006,-5.6,-80.3,61,6.1,PERU,PIURA
158,19631220,104804,20223006,-5.2,-80.8,55,5.5,PERU,PIURA
170,19640204,62453,20223006,-4.26,-80.8,100,4.5,PERU,PIURA
189,19640324,63619,20223006,-5.4,-79.4,33,4.5,PERU,PIURA
300,19650618,33750,20223006,-4.67,-80.6,33,4.7,PERU,PIURA
321,19650801,43641,20223006,-4.88,-80.9,66,4.5,PERU,PIURA
325,19650813,5445,20223006,-4.34,-81.08,38,5.6,PERU,PIURA
360,19651203,95549,20223006,-4.5,-79.9,89,4.9,PERU,PIURA
398,19660328,202934,20223006,-4.164,-81.001,30,4.9,PERU,PIURA
474,19661012,182750,20223006,-4.7,-80.91,52,5,PERU,PIURA
543,19670205,32044,20223006,-5.2,-80.7,48,4.6,PERU,PIURA
561,19670328,45135,20223006,-5.02,-80.9,88,4.9,PERU,PIURA
570,19670422,192936,20223006,-5.71,-79.4,67,4.8,PERU,PIURA
706,19680415,74740,20223006,-5.888,-81.051,24,5.5,PERU,PIURA
818,19680906,74942,20223006,-5.793,-80.384,45,5.6,PERU,PIURA
895,19690330,50539,20223006,-4.365,-80.764,66,5,PERU,PIURA
923,19690703,123141,20223006,-5.3,-81.1,50,4.9,PERU,PIURA
925,19690704,72150,20223006,-4.226,-80.989,28,5,PERU,PIURA
1025,19700331,85014,20223006,-5.746,-80.21,71,5.7,PERU,PIURA
1150,19701210,44943,20223006,-4.31,-80.98,31,5.6,PERU,PIURA
1163,19701210,195047,20223006,-4.198,-80.704,55,5.3,PERU,PIURA
1172,19701212,43519,20223006,-4.3,-81.2,94,5.1,PERU,PIURA
1184,19701214,82854,20223006,-4.147,-81.072,40,5.3,PERU,PIURA
1189,19701218,70814,20223006,-4.211,-80.979,39,5,PERU,PIURA
1221,19710206,112003,20223006,-4.38,-80.909,41,4.9,PERU,PIURA
1251,19710531,113422,20223006,-4.164,-80.988,41,5.2,PERU,PIURA
1260,19710711,13300,20223006,-4.4,-79.95,100,7.1,PERU,PIURA
1347,19720428,84827,20223006,-4.976,-80.797,46,4.9,PERU,PIURA
1370,19720625,121901,20223006,-5.2,-80.08,73,5.2,PERU,PIURA
1421,19721203,114527,20223006,-6.203,-80.603,70,4.8,PERU,PIURA
1485,19730728,194610,20223006,-4.337,-80.651,63,4.9,PERU,PIURA
1590,19740609,104121,20223006,-5.858,-81.03,30,5.4,PERU,PIURA
1606,19740721,221556,20223006,-4.81,-80.704,61,5.1,PERU,PIURA
1625,19741002,25504,20223006,-5.852,-80.995,20,5.9,PERU,PIURA
1654,19741008,153939,20223006,-4.338,-81.102,52,5.3,PERU,PIURA
