ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
12,19600709,20539,20223006,-15,-70.5,200,5.9,PERU,PUNO
25,19601230,110336,20223006,-17,-70,47,5.6,PERU,PUNO
41,19610828,62819,20223006,-15.2,-70.2,185,5.3,PERU,PUNO
60,19620322,205036,20223006,-14.9,-70.7,119,5.1,PERU,PUNO
72,19621020,63329,20223006,-17.2,-69.7,153,5.3,PERU,PUNO
102,19630624,12103,20223006,-15.3,-69.4,179,4.5,PERU,PUNO
116,19630815,172506,20223006,-13.8,-69.3,543,7.8,PERU,PUNO
141,19631106,183325,20223006,-16.7,-69.7,174,5.1,PERU,PUNO
197,19640425,114615,20223006,-15.69,-70.46,219,4.5,PERU,PUNO
205,19640514,113016,20223006,-15.56,-70.86,185,4.5,PERU,PUNO
207,19640523,164207,20223006,-16.3,-69.2,235,4.6,PERU,PUNO
224,19640802,81405,20223006,-17.25,-69.63,5,4.7,PERU,PUNO
235,19640929,203152,20223006,-16.36,-69.35,139,4.5,PERU,PUNO
251,19641206,31538,20223006,-15.53,-70.6,168,5,PERU,PUNO
259,19650107,141722,20223006,-15.5,-70.89,0,4.8,PERU,PUNO
304,19650624,165405,20223006,-15.62,-70.61,191,4.8,PERU,PUNO
320,19650730,121107,20223006,-15.1,-70.8,192,4.6,PERU,PUNO
358,19651202,3631,20223006,-16.471,-69.594,192,5.3,PERU,PUNO
371,19660104,124814,20223006,-15.311,-70.831,178,5.4,PERU,PUNO
406,19660502,212851,20223006,-17.06,-69.63,181,4.6,PERU,PUNO
407,19660502,213404,20223006,-16.8,-69.5,152,4.8,PERU,PUNO
410,19660513,13520,20223006,-15.43,-70.83,214,4.8,PERU,PUNO
444,19660721,55412,20223006,-15.28,-70.77,217,4.5,PERU,PUNO
453,19660814,74650,20223006,-14.5,-69.2,51,4.7,PERU,PUNO
522,19661120,60934,20223006,-15.3,-69.63,116,4.6,PERU,PUNO
526,19661209,100656,20223006,-14.734,-70.763,100,5.2,PERU,PUNO
536,19670104,195342,20223006,-14.4,-70.65,86,4.5,PERU,PUNO
546,19670210,65137,20223006,-16.4,-69.6,228,4.7,PERU,PUNO
569,19670421,225744,20223006,-16.48,-69.74,213,4.8,PERU,PUNO
619,19670806,80721,20223006,-16.96,-69.49,191,4.5,PERU,PUNO
651,19671022,44053,20223006,-17.14,-69.936,155,4.8,PERU,PUNO
666,19671211,42723,20223006,-13.9,-69.8,67,4.9,PERU,PUNO
688,19680130,92445,20223006,-14.5,-70.1,85,4.7,PERU,PUNO
710,19680426,115449,20223006,-14.451,-70.52,100,5.2,PERU,PUNO
768,19680623,112620,20223006,-15.531,-70.307,222,4.7,PERU,PUNO
804,19680727,231828,20223006,-16.62,-69.36,211,4.7,PERU,PUNO
811,19680822,203813,20223006,-15.53,-70.88,190,4.9,PERU,PUNO
823,19680914,185320,20223006,-15.31,-70.76,196,4.9,PERU,PUNO
848,19681204,180413,20223006,-15.773,-70.618,200,4.7,PERU,PUNO
861,19690110,133725,20223006,-13.48,-69.3,661,4.5,PERU,PUNO
881,19690225,4202,20223006,-16.3,-69.6,140,4.5,PERU,PUNO
929,19690715,84935,20223006,-16.63,-69.6,210,4.6,PERU,PUNO
991,19691204,235246,20223006,-15.52,-70.64,210,4.7,PERU,PUNO
1024,19700309,135217,20223006,-16.54,-69.6,194,4.9,PERU,PUNO
