ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
36,19610708,54902,20223006,-6.2,-77.1,15,5.8,PERU,SAN MARTIN
52,19611129,203809,20223006,-7.2,-76.4,33,5.8,PERU,SAN MARTIN
93,19630413,22058,20223006,-6.2,-76.5,125,6.9,PERU,SAN MARTIN
252,19641207,155553,20223006,-6.613,-76.352,132,5.2,PERU,SAN MARTIN
253,19641215,162011,20223006,-7.15,-76.77,33,5.2,PERU,SAN MARTIN
269,19650213,100524,20223006,-5.9,-77.6,69,4.9,PERU,SAN MARTIN
308,19650702,10948,20223006,-7.65,-76.93,42,4.9,PERU,SAN MARTIN
309,19650702,22816,20223006,-7.75,-76.9,49,4.9,PERU,SAN MARTIN
403,19660501,80424,20223006,-6.69,-75.76,48,4.9,PERU,SAN MARTIN
440,19660630,104954,20223006,-6.74,-76.8,29,5.2,PERU,SAN MARTIN
568,19670413,53006,20223006,-6.175,-76.664,42,5.2,PERU,SAN MARTIN
718,19680527,41537,20223006,-8.1,-76.9,103,4.7,PERU,SAN MARTIN
722,19680612,173308,20223006,-6.34,-76.47,112,4.7,PERU,SAN MARTIN
723,19680619,20159,20223006,-5.9,-77.2,14,4.8,PERU,SAN MARTIN
727,19680619,90159,20223006,-5.9,-77.2,147,4.8,PERU,SAN MARTIN
728,19680619,90435,20223006,-5.772,-77.148,25,4.8,PERU,SAN MARTIN
730,19680619,91046,20223006,-5.609,-77.236,25,4.9,PERU,SAN MARTIN
732,19680619,91721,20223006,-5.75,-77,91,5,PERU,SAN MARTIN
734,19680619,92801,20223006,-5.64,-77.18,38,5.1,PERU,SAN MARTIN
736,19680619,101847,20223006,-5.612,-77.239,24,5.3,PERU,SAN MARTIN
744,19680619,165432,20223006,-5.603,-77.587,25,5.2,PERU,SAN MARTIN
746,19680619,170745,20223006,-5.657,-77.439,25,5.3,PERU,SAN MARTIN
747,19680619,211911,20223006,-5.66,-77.1,33,4.9,PERU,SAN MARTIN
749,19680620,1126,20223006,-5.83,-77.31,118,4.9,PERU,SAN MARTIN
753,19680620,54455,20223006,-6.01,-77.5,154,4.8,PERU,SAN MARTIN
755,19680620,155156,20223006,-5.647,-77.206,12,5.1,PERU,SAN MARTIN
757,19680621,22007,20223006,-5.9,-77.4,115,4.8,PERU,SAN MARTIN
762,19680622,40221,20223006,-5.734,-77.121,23,4.9,PERU,SAN MARTIN
770,19680623,191829,20223006,-7.1,-76.7,33,4.8,PERU,SAN MARTIN
771,19680624,25937,20223006,-5.69,-77.2,64,4.9,PERU,SAN MARTIN
775,19680626,45347,20223006,-5.762,-77.273,24,5.2,PERU,SAN MARTIN
777,19680626,64641,20223006,-6.2,-76.7,153,4.6,PERU,SAN MARTIN
781,19680627,71040,20223006,-5.78,-76.9,98,4.9,PERU,SAN MARTIN
786,19680629,184334,20223006,-6.06,-77.3,134,4.9,PERU,SAN MARTIN
788,19680701,110822,20223006,-5.71,-77.295,24,5.2,PERU,SAN MARTIN
790,19680703,152500,20223006,-5.82,-76.92,111,4.7,PERU,SAN MARTIN
