ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
6,19600213,204006,20223006,-17.5,-70,150,5.9,PERU,TACNA
30,19610409,171747,20223006,-18.3,-70.2,29,5.3,PERU,TACNA
32,19610603,42156,20223006,-18.1,-70.3,60,5.3,PERU,TACNA
55,19620102,52341,20223006,-18.1,-70.6,77,5.3,PERU,TACNA
65,19620824,131537,20223006,-17.5,-70.4,92,5.7,PERU,TACNA
66,19620830,62228,20223006,-17.4,-69.8,145,5.3,PERU,TACNA
92,19630406,4300,20223006,-18,-69.9,159,4.8,PERU,TACNA
118,19630827,125655,20223006,-17.7,-70.1,158,4.7,PERU,TACNA
164,19640110,53704,20223006,-17.52,-69.79,167,4.7,PERU,TACNA
199,19640428,193331,20223006,-17.3,-70.1,127,4.7,PERU,TACNA
291,19650510,83521,20223006,-17.335,-70.692,107,4.9,PERU,TACNA
328,19650825,145037,20223006,-17.599,-69.771,143,5.2,PERU,TACNA
336,19650920,63742,20223006,-17.3,-70.5,127,4.9,PERU,TACNA
351,19651123,102100,20223006,-18.1,-70.7,93,4.9,PERU,TACNA
402,19660427,135355,20223006,-17.66,-70.71,60,4.9,PERU,TACNA
413,19660525,162957,20223006,-17.7,-70.6,73,4.7,PERU,TACNA
423,19660605,41733,20223006,-17.28,-70.63,126,4.7,PERU,TACNA
439,19660623,2018,20223006,-17.19,-70.19,151,4.7,PERU,TACNA
450,19660801,95040,20223006,-17.766,-70.657,106,5.1,PERU,TACNA
515,19661112,184932,20223006,-18.2,-70.2,33,5.3,PERU,TACNA
538,19670112,54401,20223006,-18.309,-70.325,94,5.2,PERU,TACNA
553,19670309,195700,20223006,-17.593,-69.645,153,4.9,PERU,TACNA
698,19680311,170647,20223006,-17.74,-69.89,139,4.5,PERU,TACNA
830,19681027,140254,20223006,-17.164,-70.179,143,5.1,PERU,TACNA
854,19681227,212930,20223006,-18.28,-70.14,107,4.6,PERU,TACNA
883,19690301,235513,20223006,-17.41,-69.88,151,4.8,PERU,TACNA
906,19690513,142947,20223006,-17.6,-70.5,73,4.5,PERU,TACNA
950,19690827,155544,20223006,-17.473,-70.108,141,5.2,PERU,TACNA
955,19690908,72502,20223006,-17.7,-70.7,68,4.5,PERU,TACNA
982,19691019,152314,20223006,-17.55,-70.38,33,4.5,PERU,TACNA
1146,19701123,64242,20223006,-17.6,-70,152,4.9,PERU,TACNA
1160,19701210,121311,20223006,-18.14,-69.95,140,4.6,PERU,TACNA
1270,19710823,14653,20223006,-17.068,-70.165,143,5.2,PERU,TACNA
1282,19710924,61134,20223006,-17.262,-70.022,143,4.9,PERU,TACNA
1467,19730430,32112,20223006,-17.436,-69.589,177,4.5,PERU,TACNA
1520,19731103,43436,20223006,-18.04,-70.736,68,5.3,PERU,TACNA
1531,19731201,143408,20223006,-17.756,-69.917,106,5.5,PERU,TACNA
1573,19740425,85643,20223006,-17.242,-70.645,24,5.6,PERU,TACNA
1624,19740930,203907,20223006,-18.052,-69.838,125,4.7,PERU,TACNA
1714,19750117,123701,20223006,-17.278,-70.278,137,4.5,PERU,TACNA
1762,19750621,94706,20223006,-17.856,-70.565,119,4.9,PERU,TACNA
1794,19751219,225719,20223006,-17.534,-70.567,108,5.3,PERU,TACNA
1957,19780205,15224,20223006,-17.905,-69.799,136,5.6,PERU,TACNA
1960,19780228,65133,20223006,-17.014,-70.266,51,5.4,PERU,TACNA
2008,19780808,14324,20223006,-17.675,-70.001,139,5,PERU,TACNA
2157,19800327,61649,20223006,-17.385,-70.128,145,5,PERU,TACNA
2195,19800923,1820,20223006,-18.045,-69.89,133,5.1,PERU,TACNA
2196,19800929,3155,20223006,-17.541,-70.002,125,5.3,PERU,TACNA
2307,19811008,222548,20223006,-17.562,-70.346,105,5.3,PERU,TACNA
2321,19811127,174602,20223006,-17.492,-69.683,144,5.1,PERU,TACNA
2323,19811130,154228,20223006,-17.368,-69.976,129,5.7,PERU,TACNA
2326,19811220,61213,20223006,-17.719,-69.969,126,5.1,PERU,TACNA
2341,19820323,15840,20223006,-17.393,-69.672,171,5.1,PERU,TACNA
2442,19830410,112952,20223006,-17.34,-70.66,122,4.9,PERU,TACNA
2466,19830626,53941,20223006,-17.71,-69.87,137,5.2,PERU,TACNA
