ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
113,19630804,120724,20223006,-4.1,-80.9,34,5.1,PERU,TUMBES
171,19640204,73808,20223006,-4,-80.79,67,4.9,PERU,TUMBES
294,19650520,95515,20223006,-3.77,-80.76,30,4.9,PERU,TUMBES
394,19660328,152923,20223006,-3.979,-80.85,43,5.6,PERU,TUMBES
395,19660328,174247,20223006,-3.986,-80.773,32,5.6,PERU,TUMBES
396,19660328,182017,20223006,-3.9,-80.4,72,4.6,PERU,TUMBES
397,19660328,185621,20223006,-3.682,-80.582,26,4.7,PERU,TUMBES
829,19681018,195921,20223006,-4.096,-80.921,43,5,PERU,TUMBES
836,19681107,181715,20223006,-4.164,-80.597,43,5.2,PERU,TUMBES
924,19690704,63246,20223006,-3.956,-80.848,37,5.3,PERU,TUMBES
953,19690901,180313,20223006,-3.801,-80.768,51,4.9,PERU,TUMBES
1149,19701210,43439,20223006,-4.063,-80.664,21,7.1,PERU,TUMBES
1151,19701210,51523,20223006,-3.95,-80.609,25,5.1,PERU,TUMBES
1152,19701210,52655,20223006,-3.849,-80.791,34,5.2,PERU,TUMBES
1153,19701210,53252,20223006,-3.947,-80.807,37,5.5,PERU,TUMBES
1155,19701210,65120,20223006,-3.941,-80.931,37,5.1,PERU,TUMBES
1156,19701210,91855,20223006,-3.836,-80.826,53,5,PERU,TUMBES
1158,19701210,110330,20223006,-4.17,-80.6,66,4.9,PERU,TUMBES
1159,19701210,113744,20223006,-4.028,-80.806,34,5.7,PERU,TUMBES
1162,19701210,172941,20223006,-4.015,-80.927,33,5.3,PERU,TUMBES
1164,19701210,214644,20223006,-3.894,-80.805,39,5.3,PERU,TUMBES
1165,19701211,31958,20223006,-4,-80.7,33,4.6,PERU,TUMBES
1166,19701211,35722,20223006,-3.924,-80.734,36,5,PERU,TUMBES
1168,19701211,102438,20223006,-4.058,-80.802,37,5.9,PERU,TUMBES
1169,19701211,202412,20223006,-4.166,-80.953,42,5.1,PERU,TUMBES
1170,19701211,210044,20223006,-3.967,-80.935,28,5.2,PERU,TUMBES
1174,19701212,131342,20223006,-3.82,-80.8,42,4.9,PERU,TUMBES
1175,19701212,145839,20223006,-3.908,-80.727,57,4.7,PERU,TUMBES
1176,19701212,211320,20223006,-4,-80.86,64,5.1,PERU,TUMBES
1177,19701212,223840,20223006,-3.96,-80.93,51,4.9,PERU,TUMBES
1178,19701213,1524,20223006,-4.024,-80.721,43,5.3,PERU,TUMBES
1179,19701213,5056,20223006,-4.049,-80.885,40,5.2,PERU,TUMBES
1180,19701213,170117,20223006,-3.82,-80.7,86,4.8,PERU,TUMBES
1182,19701213,233657,20223006,-3.98,-80.75,61,5,PERU,TUMBES
1183,19701214,62338,20223006,-3.953,-80.742,54,5.2,PERU,TUMBES
1185,19701214,94137,20223006,-4.022,-80.739,53,5.1,PERU,TUMBES
1187,19701215,211524,20223006,-3.979,-80.828,46,5.4,PERU,TUMBES
1191,19701221,72147,20223006,-3.939,-80.925,33,5.2,PERU,TUMBES
1192,19701221,73318,20223006,-3.931,-80.814,38,5.4,PERU,TUMBES
1194,19701222,14832,20223006,-4.036,-80.76,33,5.7,PERU,TUMBES
1195,19701222,150838,20223006,-3.906,-80.799,38,5.3,PERU,TUMBES
1196,19701223,23845,20223006,-3.8,-80.8,23,4.5,PERU,TUMBES
1199,19701225,211818,20223006,-4.11,-81,44,4.6,PERU,TUMBES
1202,19701229,22211,20223006,-3.97,-80.9,48,4.9,PERU,TUMBES
1203,19701229,80202,20223006,-3.957,-80.904,56,5.9,PERU,TUMBES
1204,19710102,83704,20223006,-3.91,-80.849,63,4.9,PERU,TUMBES
1207,19710105,113531,20223006,-3.951,-80.933,66,4.9,PERU,TUMBES
1208,19710108,10005,20223006,-3.988,-80.434,39,4.9,PERU,TUMBES
