ID,FECHA_UTC,HORA_UTC,FECHA_CORTE,LATITUD,LONGITUD,PROFUNDIDAD,MAGNITUD,EPICENTRO,DEPARTAMENTO
5,19600208,190616,20223006,-8.5,-74.5,136,5.3,PERU,UCAYALI
28,19610208,80413,20223006,-10.4,-71,600,6,PERU,UCAYALI
79,19630117,193059,20223006,-8.3,-75.1,124,5.8,PERU,UCAYALI
96,19630510,130522,20223006,-8,-74.4,143,4.9,PERU,UCAYALI
163,19640105,183356,20223006,-7.98,-74.35,147,5.5,PERU,UCAYALI
176,19640220,72223,20223006,-9.32,-74.54,77,4.9,PERU,UCAYALI
228,19640818,2653,20223006,-7.32,-74.51,156,5.5,PERU,UCAYALI
233,19640921,132744,20223006,-8.3,-74.9,125,5,PERU,UCAYALI
234,19640929,184614,20223006,-8.53,-74.29,159,4.6,PERU,UCAYALI
265,19650123,144826,20223006,-8.4,-74.5,33,4.7,PERU,UCAYALI
266,19650125,223639,20223006,-9.478,-74.474,115,4.7,PERU,UCAYALI
270,19650218,223219,20223006,-10.068,-71.101,585,5.5,PERU,UCAYALI
280,19650404,200943,20223006,-8.83,-74.413,143,5.5,PERU,UCAYALI
305,19650626,55514,20223006,-9.124,-72.975,49,4.9,PERU,UCAYALI
326,19650822,122425,20223006,-7.86,-74.57,146,4.9,PERU,UCAYALI
346,19651019,20254,20223006,-8.5,-74.4,112,4.7,PERU,UCAYALI
357,19651130,94613,20223006,-8.34,-74.15,179,5.3,PERU,UCAYALI
370,19660101,195156,20223006,-7.91,-74.4,167,5,PERU,UCAYALI
374,19660113,141710,20223006,-8.338,-74.043,160,5.1,PERU,UCAYALI
404,19660501,162257,20223006,-8.438,-74.222,158,6.8,PERU,UCAYALI
405,19660502,105550,20223006,-8.377,-74.178,159,5.1,PERU,UCAYALI
412,19660521,74421,20223006,-8.107,-74.387,156,4.9,PERU,UCAYALI
416,19660531,85022,20223006,-8.651,-74.41,170,5.1,PERU,UCAYALI
456,19660824,154101,20223006,-7.69,-74.33,142,4.7,PERU,UCAYALI
465,19660907,102047,20223006,-9.4,-74.57,122,4.9,PERU,UCAYALI
467,19660909,40406,20223006,-8.397,-74.138,170,5.3,PERU,UCAYALI
475,19661013,154517,20223006,-8.768,-74.236,154,5.4,PERU,UCAYALI
517,19661113,142440,20223006,-8.317,-74.251,164,5.3,PERU,UCAYALI
